CODERESP,SECURITYID,BIRTHYEARR,CONTROL1,CONTROL3,CONTROL3@,S11,POLINT,PART,NONVOTE_01,NONVOTE_02,NONVOTE_03,NONVOTE_04,NONVOTE_05,NONVOTE_06,NONVOTE_07,NONVOTE_08,NONVOTE_09,NONVOTE_10,NONVOTE_98,PARTY15,VOTE1,VOTE1A,VOTE1B,VOTE1C,IMPORTANCE1,REASON1ACC1,REASON1ACC1_01,REASON1ACC1_02,REASON1ACC1_03,REASON1ACC1_04,REASON1ACC1_05,REASON1ACC1_06,REASON1ACC1_07,REASON1ACC1_08,REASON2ACC1,REASON2ACC1_01,REASON2ACC1_02,REASON2ACC1_03,REASON2ACC1_04,REASON2ACC1_05,REASON2ACC1_06,REASON2ACC1_07,REASON1DEN1,REASON1DEN1_01,REASON1DEN1_02,REASON1DEN1_03,REASON1DEN1_04,REASON1DEN1_05,REASON2DEN1,REASON2DEN1_01,REASON2DEN1_02,REASON2DEN1_03,REASON2DEN1_04,REASON2DEN1_05,VOTE2,VOTE2A,VOTE2B,VOTE2C,IMPORTANCE2,REASON1ACC2,REASON1ACC2_01,REASON1ACC2_02,REASON1ACC2_03,REASON1ACC2_04,REASON2ACC2,REASON2ACC2_01,REASON2ACC2_02,REASON2ACC2_03,REASON2ACC2_04,REASON1DEN2,REASON1DEN2_01,REASON1DEN2_02,REASON1DEN2_03,REASON1DEN2_04,REASON1DEN2_05,REASON2DEN2,REASON2DEN2_01,REASON2DEN2_02,REASON2DEN2_03,REASON2DEN2_04,VOTE3,VOTE3A,VOTE3B,VOTE3C,IMPORTANCE3,REASON1ACC3,REASON1ACC3_01,REASON1ACC3_02,REASON1ACC3_03,REASON1ACC3_04,REASON1ACC3_05,REASON2ACC3,REASON2ACC3_01,REASON2ACC3_02,REASON2ACC3_03,REASON1DEN3,REASON1DEN3_01,REASON1DEN3_02,REASON1DEN3_03,REASON1DEN3_04,REASON1DEN3_05,REASON2DEN3,REASON2DEN3_01,REASON2DEN3_02,REASON2DEN3_03,REASON2DEN3_04,TRUST_1,TRUST_2,TRUST_3,TRUST_4,TRUST_5,TRUST_6,TRUST_7,TRUST_8,TRUST_9,TRUST_10,TRUST_26,TRUST_27,TRUST_28,TRUST_29,LRSP,VALUE1,VALUE2,VALUE3,VALUE4,VALUE5,VALUE6,VALUE7,VALUE8,VALUE9,VALUE10,VALUE12,VALUE13,VALUE14,VALUE16,DIFFICUL1,DECTIME1,ARGU1_1,ARGU1_2,ARGU1_3,ARGU1_4,ARGU1_5,ARGU1_6,DIFFICUL2,DECTIME2,ARGU2_1,ARGU2_2,ARGU2_3,ARGU2_4,ARGU2_5,ARGU2_6,DIFFICUL3,DECTIME3,ARGU3_1,ARGU3_2,ARGU3_3,ARGU3_4,ARGU3_5,ARGU3_6,COVID1A,COVID1B,COVID1C,COVID2,ONLINE,MEDIAUSE_1,MEDIAUSE_2,MEDIAUSE_3,MEDIAUSE_4,MEDIAUSE_5,MEDIAUSE_6,MEDIAUSE_7,MEDIAUSE_8,MEDIAUSE_9,MEDIAUSE_10,MEDIAUSE_11,MEDIAUSE_12,MEDIAUSE_13,MEDIAUSE_14,MEDIAUSE_15,MEDIAUSE2_1,MEDIAUSE2_2,MEDIAUSE2_3,MEDIAUSE2_4,MEDIAUSE2_5,MEDIAUSE2_6,MEDIAUSE2_7,MEDIAUSE2_8,DISCUS,VOTEWIE,PART2,PARTYA,CITIZENREPA,ORIGINPARENTS,CONFESSD,CONFESSR,CULT,EDUC,ACTI,ACTIPREV,S17JOBPOSITION,WORKLOAD,S17SECTOR,MAINEARNER,EDUCMAIN,ACTIMAIN,INCOME,INCOMEPRECARIAT,HABITAT,GEWVORL1,GEWVORL2,GEWVORL3
10001,20210307.17818.203,2002,99999998,99999998, ,1,2,1,8,8,8,8,8,8,8,8,8,8,8,2,2,99999998,4,99999998,7, ,99999998, , , , , , , , ,99999998, , , , , , ,"Non trovo che sia necessario togliere questa libertà, se ci fosse stata un'utilità effettiva, forse avrei votato diversamente",32, , , , ,"trovo che ognuno debba essere libero di vestirsi come meglio crede, fin tanto che non metta effettivamente a rischio altre persone",21,32, , , ,1,2,99999998,99999998,4,"La sua accettazione non prevede l'obbligo di un'identità personale per tutti, quindi spetta poi al singolo individuo scegliere se farla o meno. Non vedo il motivo per cui debba essere respinta, privando di questa opportunità a persone o aziende che deside",12, , , ,"Il fatto che le nostre identità sarebbero state in mano a privati avrebbe dato un po fastidio anche a me e avrei preferito una gestione dei dati statale, è anche vero che però che nella nostra epoca bastata sui social network già tutte le nostre informazi",52, , , , ,99999998, , , , , ,99999998, , , ,2,99999998,2,99999998,7, ,99999998, , , , , ,99999998, , ,Trovo che il problema delle esportazioni dell'olio di palma sia un problema grave che dovrebbe essere affrontato piuttosto che favorito.,55, , , , ,"la campagna a favore affermava che con l'accettazione si avrebbe avuto un miglioramento delle condizioni dei campi di palma da olio, dal momento che ha ricevere vantaggi dai dazi beneficerebbero soltanto chi rispetta determinate regole. A parer mio, le mi",53, , , ,7,6,5,3,98,7,6,5,6,5,4,3,98,5,2,3,2,1,1,2,5,2,2,1,1,2,3,5,3,1,1,3,1,4,4,1,1,2,2,2,2,3,3,2,1,2,2,1,1,4,1,1,2,1,1,1,2,1,0,2,1,10,0,0,0,7,0,0,98,0,7,0,0,5,7,2,5,2,5,1,10,5,1,10,2,1,1,8, ,99999998,21,9,98,99999998,10,99999998,8,99999998,99999998,98,1,2,.0548660052087467,.036394334351598,.0540318507854675
10003,20210307.27296.203,1939,99999998,99999998, ,2,2,1,8,8,8,8,8,8,8,8,8,8,8,3,2,99999998,8,99999998,0, ,99999998, , , , , , , , ,99999998, , , , , , , ,99, , , , , , , , , , ,2,99999998,8,99999998,0, ,99999998, , , , ,99999998, , , , ,99, , , , , , , , , ,1,4,99999998,99999998,10, ,99, , , , , , , , , ,99999998, , , , , ,99999998, , , ,8,98,5,8,98,98,98,98,98,98,98,0,0,8,10,9,9,9,9,8,2,2,5,9,9,9,9,8,8,1,1,8,8,8,8,8,8,8,8,4,8,8,8,8,8,1,1,8,8,8,8,8,8,1,8,8,4,2,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,8,8,8,2,1,1,1,1,2,33,6,6,99999998,98,99999998,8,99999998,99999998,98,1,1,.661921935354766,.777665528696047,.742405318381029
10004,20210307.26082.203,1963,99999998,99999998, ,2,2,1,8,8,8,8,8,8,8,8,8,8,8,16,2,99999998,4,99999998,0, ,99999998, , , , , , , , ,99999998, , , , , , ,Widerspruch zur Religionsfreiheit,101, , , , ,SVP Initiative,63, , , , ,2,99999998,4,99999998,2, ,99999998, , , , ,99999998, , , ,"Ungenügender Datenschutz  Datenschutz ist ungenügend, Private Firmen verwalten diese das geht für mich gar nicht!",42,41, , , ,Es sind sowieso schon genügend Informationen im Netz,42, , , ,2,99999998,2,99999998,3, ,99999998, , , , , ,99999998, , ,Abholzung des Regenwaldes muss überall vermieden werden!,51, , , , ,Wer garantiert die Nachhaltigkeit? Firmen die Profite machen wollen? Besser man arbeitet mit dem heimischen Resoursen,53,42,31, ,2,5,2,2,2,4,5,3,2,3,1,4,5,2,3,1,1,1,1,4,6,1,1,1,1,8,6,3,4,1,1,2,2,4,1,1,1,1,1,4,4,2,2,1,1,1,1,2,3,3,1,1,1,1,1,1,1,3,5,0,2,0,0,0,0,4,2,0,0,0,4,0,3,5,5,1,2,5,5,2,5,4,2,10,18,2,2,2, ,99999998,33,1,99999998,12,22,1,4,52,1,98,2,1,1.06342366836006,1.0101850307822,.882949864136611
10006,20210307.26226.203,1993,99999998,99999998, ,2,3,1,8,8,8,8,8,8,8,8,8,8,8,2,2,99999998,4,99999998,10, ,99999998, , , , , , , , ,99999998, , , , , , ,-Rassendiskriminierung - absolute Idiotie sowas zu Zeiten Corona (Verhüllung aller Menschen) zu lancieren,17,12,102, , ,-Glaubensfreiheit - hilft den Frauen überhaupt nicht,101,41, , , ,2,99999998,2,99999998,3, ,99999998, , , , ,99999998, , , ,- Vertrauen in die Geheimhaltung fehlt,31,42, , , , ,99, , , ,1,8,99999998,99999998,6,-Schweiz ist auf andere Länder angwiesen,22, , , , ,-rechtliche Grundlagen für die Umwelt waren gegeben,51, , , ,99999998, , , , , ,99999998, , , ,7,4,2,2,5,9,7,7,5,6,2,2,2,5,3,1,1,3,1,8,4,3,1,1,3,3,6,4,5,1,1,1,4,4,2,1,1,1,8,2,3,3,4,2,3,1,2,2,8,2,2,3,2,1,1,1,4,3,2,2,8,9,0,2,0,2,2,5,5,0,6,2,0,7,3,2,0,0,7,0,9,1,1,10,2,1,1,2, ,99999998,33,3,99999998,33,10,2,3,99999998,99999998,5,1,1,.393579801933925,.462401120746947,.441435345402917
10012,20210307.26759.203,1969,99999998,99999998, ,1,2,1,8,8,8,8,8,8,8,8,8,8,8,3,2,99999998,2,99999998,2, ,99999998, , , , , , , , ,99999998, , , , , , ,Projet populiste qui ne concerne très peu de monde et qui n'apporte pas à bénéfices à la population,62,44,41, , ,J'ai tendance à être entre les projets de l'UDC que j'estime trop symboliques,63, , , , ,1,2,99999998,99999998,7,Ce projet permet une simplification des processus administratif,22, , , ,Faire que la Suisse est une administration adaptée au monde numérique,23,41, , , ,99999998, , , , , ,99999998, , , ,1,2,99999998,99999998,5,Cet accord représente un progrès pour nos relations économiques avec ce pays,31, , , , , ,99, , , ,99999998, , , , , ,99999998, , , ,7,6,5,6,5,7,7,5,5,5,5,6,98,6,6,3,4,3,4,4,4,3,3,2,5,2,3,4,2,1,2,1,1,2,2,2,1,2,2,2,2,2,8,3,2,1,2,2,3,2,3,2,3,1,2,1,3,3,6,6,5,6,0,2,2,5,0,1,0,0,3,0,2,3,3,2,2,6,6,2,7,2,1,7,3,1,1,1,2,4,52,3,99999998,32,10,1,1,99999998,99999998,14,1,2,.299108268434552,.528688565409667,.378774954272182
10013,20210307.25108.203,1941,99999998,99999998, ,1,1,1,8,8,8,8,8,8,8,8,8,8,8,3,2,99999998,4,99999998,9, ,99999998, , , , , , , , ,99999998, , , , , , ,Ich habe dem Bundesrats-Beschluss vertraut.,95, , , , , ,98, , , , ,1,4,99999998,99999998,7, ,99, , , , , , , , , ,99999998, , , , , ,99999998, , , ,1,4,99999998,99999998,8,Ich habe dem Bundesrat sowie dem Parlaments-Entscheid vertraut.,95, , , , , ,99, , , ,99999998, , , , , ,99999998, , , ,7,8,6,6,7,8,8,7,8,6,6,7,5,7,5,2,2,5,5,5,1,3,2,1,2,1,1,6,5,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,4,2,7,8,9,8,6,5,6,0,9,4,0,0,0,0,6,5,5,7,4,5,7,6,9,2,1,10,3,1,1,1,2,4,32,7,3,33,10,1,1,99999998,99999998,4,1,2,.723945487549472,.647246402232785,.7155352481932
10016,20210307.11023.203,1962,99999998,99999998, ,1,3,1,8,8,8,8,8,8,8,8,8,8,8,4,1,4,99999998,99999998,10,Damit man die Randalierer besser erkennt.(Verhüllungsverbot),41,35,36, , , , , , ,99, , , , , , , ,99999998, , , , , ,99999998, , , , ,1,1,99999998,99999998,5, ,99, , , , , , , , , ,99999998, , , , , ,99999998, , , ,8,99999998,99999998,99999998,0, ,99999998, , , , , ,99999998, , , ,99999998, , , , , ,99999998, , , ,8,8,6,5,6,5,8,7,7,6,6,7,4,7,5,2,6,3,1,2,2,2,6,2,2,2,1,6,3,1,1,2,1,1,3,3,2,1,2,2,2,2,3,3,2,8,8,2,2,2,2,3,2,1,1,1,3,3,3,0,0,0,4,0,0,2,1,0,0,0,0,0,0,1,5,6,1,1,4,4,1,5,2,2,4,1,1,1,2,4,21,3,99999998,33,10,1,1,99999998,99999998,7,1,2,1.38521106667395,1.0402556955981,1.1563571012968
10017,20210307.11261.203,1970,99999998,99999998, ,1,3,2,0,1,0,0,0,0,0,0,0,0,0,1,99999998,99999998,99999998,99999998,99999998, ,99999998, , , , , , , , ,99999998, , , , , , , ,99999998, , , , , ,99999998, , , , ,99999998,99999998,99999998,99999998,99999998, ,99999998, , , , ,99999998, , , , ,99999998, , , , , ,99999998, , , ,99999998,99999998,99999998,99999998,99999998, ,99999998, , , , , ,99999998, , , ,99999998, , , , , ,99999998, , , ,7,7,6,5,5,5,7,7,7,8,5,8,5,6,7,5,5,2,4,5,6,2,5,2,5,2,1,5,2,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,1,1,1,2,2, ,99999998,32,3,99999998,33,10,1,1,99999998,99999998,4,2,1,2.40079897218682,2.40092774093875,2.4008693344945
10020,20210307.19364.203,1940,99999998,99999998, ,1,2,1,8,8,8,8,8,8,8,8,8,8,8,16,8,99999998,99999998,99999998,8, ,99999998, , , , , , , , ,99999998, , , , , , , ,99999998, , , , , ,99999998, , , , ,2,99999998,4,99999998,8, ,99999998, , , , ,99999998, , , ,Fuer Vehiefertafel generation nicht relevant,43, , , , , ,99, , , ,1,2,99999998,99999998,5, ,99, , , , , , , , , ,99999998, , , , , ,99999998, , , ,5,5,5,3,8,8,5,98,7,7,4,5,2,7,7,4,4,5,4,5,2,2,5,2,5,3,1,2,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,5,5,5,3,5,4,3,98,4,8,7,1,1,1,2, ,99999998,51,3,99999998,33,10,1,1,99999998,99999998,6,2,1,.884853714950809,.917783438926459,.818292942416777
10021,20210307.14998.203,1939,99999998,99999998, ,1,3,1,8,8,8,8,8,8,8,8,8,8,8,1,1,4,99999998,99999998,7,Gast in der Schweiz soll sich offen zeigen Verhüllung ist gegen die Frau,41,21, , , , , , , ,99, , , , , , , ,99999998, , , , , ,99999998, , , , ,1,4,99999998,99999998,5,"Hacker bei privat E-Voting sind dabei Der Bund kann dies nicht, siehe diverse Programm",24, , , , ,99, , , , ,99999998, , , , , ,99999998, , , ,1,4,99999998,99999998,5, ,99, , , , , , , , , ,99999998, , , , , ,99999998, , , ,8,4,4,1,2,4,4,4,2,4,5,2,4,1,8,1,6,6,6,6,1,1,6,2,6,1,1,5,4,1,1,2,1,1,1,1,3,1,1,2,2,2,2,1,2,1,1,1,1,1,3,1,2,2,2,1,4,3,2,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,1,1,0,1,1,1,1,2,1,10,1,1,1,1,2,4,32,8,3,31,10,1,1,99999998,99999998,5,2,1,2.08278129333694,1.99097288238901,1.97401887635802
