CODERESP;SECURITYID;CONTROL1;CONTROL3;CONTROL3@;BIRTHYEARR;S11;POLINT;PART;NONVOTE_01;NONVOTE_02;NONVOTE_03;NONVOTE_04;NONVOTE_05;NONVOTE_06;NONVOTE_07;NONVOTE_08;NONVOTE_09;NONVOTE_10;NONVOTE_98;PARTY15;VOTE1;VOTE1A;VOTE1B;VOTE1C;IMPORTANCE1;REASON1ACC1_01;REASON1ACC1_02;REASON1ACC1_03;REASON1ACC1_04;REASON1ACC1_05;REASON1ACC1_06;REASON1ACC1_07;REASON1ACC1_08;REASON1ACC1;REASON2ACC1_01;REASON2ACC1_02;REASON2ACC1_03;REASON2ACC1_04;REASON2ACC1_05;REASON2ACC1_06;REASON2ACC1;REASON1DEN1_01;REASON1DEN1_02;REASON1DEN1_03;REASON1DEN1_04;REASON1DEN1_05;REASON1DEN1_06;REASON1DEN1;REASON2DEN1_01;REASON2DEN1_02;REASON2DEN1_03;REASON2DEN1_04;REASON2DEN1_05;REASON2DEN1;VOTE2;VOTE2A;VOTE2B;VOTE2C;IMPORTANCE2;REASON1ACC2_01;REASON1ACC2_02;REASON1ACC2_03;REASON1ACC2_04;REASON1ACC2_05;REASON1ACC2_06;REASON1ACC2_07;REASON1ACC2_08;REASON1ACC2_09;REASON1ACC2_10;REASON1ACC2;REASON2ACC2_01;REASON2ACC2_02;REASON2ACC2_03;REASON2ACC2_04;REASON2ACC2_05;REASON2ACC2_06;REASON2ACC2_07;REASON2ACC2_08;REASON2ACC2_09;REASON2ACC2_10;REASON2ACC2;REASON1DEN2_01;REASON1DEN2_02;REASON1DEN2_03;REASON1DEN2_04;REASON1DEN2_05;REASON1DEN2_06;REASON1DEN2_07;REASON1DEN2;REASON2DEN2_01;REASON2DEN2_02;REASON2DEN2_03;REASON2DEN2_04;REASON2DEN2_05;REASON2DEN2;VOTE3;VOTE3A;VOTE3B;VOTE3C;IMPORTANCE3;REASON1ACC3_01;REASON1ACC3_02;REASON1ACC3_03;REASON1ACC3_04;REASON1ACC3_05;REASON1ACC3;REASON2ACC3_01;REASON2ACC3_02;REASON2ACC3_03;REASON2ACC3_04;REASON2ACC3;REASON1DEN3_01;REASON1DEN3_02;REASON1DEN3_03;REASON1DEN3_04;REASON1DEN3;REASON2DEN3_01;REASON2DEN3_02;REASON2DEN3_03;REASON2DEN3;VOTE4;VOTE4A;VOTE4B;VOTE4C;IMPORTANCE4;REASON1ACC4_01;REASON1ACC4_02;REASON1ACC4_03;REASON1ACC4_04;REASON1ACC4_05;REASON1ACC4;REASON2ACC4_01;REASON2ACC4_02;REASON2ACC4_03;REASON2ACC4_04;REASON2ACC4_05;REASON2ACC4_06;REASON2ACC4;REASON1DEN4_01;REASON1DEN4_02;REASON1DEN4_03;REASON1DEN4_04;REASON1DEN4;REASON2DEN4_01;REASON2DEN4_02;REASON2DEN4_03;REASON2DEN4_04;REASON2DEN4_05;REASON2DEN4;VOTE5;VOTE5A;VOTE5B;VOTE5C;IMPORTANCE5;REASON1ACC5_01;REASON1ACC5_02;REASON1ACC5_03;REASON1ACC5_04;REASON1ACC5_05;REASON1ACC5;REASON2ACC5_01;REASON2ACC5_02;REASON2ACC5_03;REASON2ACC5_04;REASON2ACC5_05;REASON2ACC5;REASON1DEN5_01;REASON1DEN5_02;REASON1DEN5_03;REASON1DEN5_04;REASON1DEN5_05;REASON1DEN5_06;REASON1DEN5;REASON2DEN5_01;REASON2DEN5_02;REASON2DEN5_03;REASON2DEN5_04;REASON2DEN5_05;REASON2DEN5;TRUST_1;TRUST_2;TRUST_3;TRUST_4;TRUST_5;TRUST_6;TRUST_7;TRUST_8;TRUST_9;TRUST_10;TRUST_16;TRUST_30;TRUST_31;TRUST_32;TRUST_33;TRUST_34;LRSP;VALUE3;VALUE5;VALUE6;VALUE7;VALUE8;VALUE10;VALUE16;VALUE11;VALUE15;DIFFICUL1;DECTIME1;ARGU1_1;ARGU1_2;ARGU1_3;ARGU1_4;ARGU1_5;ARGU1_6;DIFFICUL2;DECTIME2;ARGU2_1;ARGU2_2;ARGU2_3;ARGU2_4;ARGU2_5;ARGU2_6;DIFFICUL3;DECTIME3;ARGU3_1;ARGU3_2;ARGU3_3;ARGU3_4;ARGU3_5;ARGU3_6;DIFFICUL4;DECTIME4;ARGU4_1;ARGU4_2;ARGU4_3;ARGU4_4;ARGU4_5;ARGU4_6;DIFFICUL5;DECTIME5;ARGU5_1;ARGU5_2;ARGU5_3;ARGU5_4;ARGU5_5;ARGU5_6;COVID1A;COVID1B;COVID1C;COVID1D;COVID1E;COVID2;COVID3_1;COVID3_2;COVID4_1;ONLINE;MEDIAUSE_1;MEDIAUSE_2;MEDIAUSE_3;MEDIAUSE_4;MEDIAUSE_5;MEDIAUSE_6;MEDIAUSE_7;MEDIAUSE_8;MEDIAUSE_9;MEDIAUSE_10;MEDIAUSE_11;MEDIAUSE_12;MEDIAUSE_13;MEDIAUSE_14;MEDIAUSE_15;MEDIAUSE2_1;MEDIAUSE2_2;MEDIAUSE2_3;MEDIAUSE2_4;MEDIAUSE2_5;MEDIAUSE2_6;MEDIAUSE2_7;MEDIAUSE2_8;DISCUS;VOTEWIE;PART2;PARTYA;CITIZENREPA;ORIGINPARENTS;CONFESSR;CONFESSD;CULT;EDUC;ACTI;ACTIPREV;S17JOBPOSITION;WORKLOAD;S17SECTOR;MAINEARNER;EDUCMAIN;ACTIMAIN;INCOME;INCOMEPRECARIAT;HABITAT;GEWVORL1;GEWVORL2;GEWVORL3;GEWVORL4;GEWVORL5
10917;20210613.52503.211;99999998;99999998; ;1946;2;2;1;8;8;8;8;8;8;8;8;8;8;8;12;2;99999998;2;99999998;7;99999998; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;21; ; ; ; ; ;Ich hoffe auf eine positive Entwicklung ohne starres Gesetz, also, dass alle nach Gewissen und Möglichkeiten sich hinterfragen und sich Mühe geben die Umwelt zu schützen.;99; ; ; ; ; ;2;99999998;2;99999998;8;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ; ; ; ;13; ; ; ; ; ; ;Ich begreife die Angst auf beiden Seiten. Ich hoffe, dass es uns gelingen wird umweltfreundliche Landwirtschaft zu betreiben. Eigene Erfahrung zeigt mir auch die Schwierigkeiten.;17; ; ; ; ;das Mass;2;99999998;2;99999998;6;99999998; ; ; ; ; ;99999998; ; ; ; ;24; ; ; ;Obwohl ich sehr dankbar bin für jeden Politiker der sich für unser Wohl einsetzt, bin ich kritisch, wenn wir Kompetenzen delegieren.;24; ; ;Die Demokratie und persönliche Grundrechte sind mir wichtig.;2;99999998;2;99999998;8;99999998; ; ; ; ; ;99999998; ; ; ; ; ; ;43; ; ; ;Ich bin kritisch gegenüber Aussagen der Wissenschaft, die so sacrosanct daher kommen;99; ; ; ; ; ;2;99999998;2;99999998;6;99999998; ; ; ; ; ;99999998; ; ; ; ; ;41; ; ; ; ; ;Ich fürchte, dass dieses Gesetz missbraucht werden könnte.;99; ; ; ; ; ;6;6;5;4;4;5;6;4;5;4;5;6;3;5;5;6;7;3;4;3;5;4;8;4;4;3;1;2;3;3;3;2;2;2;1;2;3;2;2;2;2;2;1;2;3;2;3;2;2;2;2;2;2;3;2;3;2;3;2;2;3;3;3;2;2;2;1;1;3;1;1;3;4;4;3;2;8;7;0;4;7;5;5;1;4;2;98;2;3;0;2;0;1;1;1;0;5;0;5;3;1;10;12;1;1;5;1;7;40;7;3;32;10;3;3;99999998;99999998;6;1;1;2.198756719;2.208433771;2.827059555;1.917129656;2.590829732
14434;20210613.61885.211;99999998;99999998; ;1973;2;3;2;0;0;1;0;0;0;0;0;0;0;0;1;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ; ; ;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;8;5;5;0;5;5;5;0;3;5;7;5;5;8;3;10;5;5;1;1;1;6;1;6;6;6;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;0;1;2;2; ;2;99999998;21;9;3;33;10;8;2;97;3;10;1;1;3.860919237;3.864797984;3.869508913;3.862095849;3.881288926
14941;20210613.63293.211;99999998;99999998; ;1939;2;2;1;8;8;8;8;8;8;8;8;8;8;8;1;2;99999998;4;99999998;8;99999998; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;62;63;61; ; ; ;Das wäre für die Bauern katastrofalgem.;33;30; ; ; ;Das Leben wäre viel teurer geworden.;2;99999998;4;99999998;10;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ; ; ; ;64; ; ; ; ; ; ;Ohne Pestizid eght es leider nicht;17; ; ; ; ;Das ist von den Grünen eine Zwängerei;1;4;99999998;99999998;10;12; ; ; ; ;Dieser Gesetz muss angenommen werden;24; ; ; ;Damit Sie selbstständig handeln können;99999998; ; ; ; ;99999998; ; ; ;1;4;99999998;99999998;10;45; ; ; ; ;So kann es nicht mehr weiter gehen;46; ; ; ; ; ;Wir müssen endlich für saubere Luft sorgen;99999998; ; ; ; ;99999998; ; ; ; ; ;1;4;99999998;99999998;10;41;43; ; ; ;Wir müssen mit härteren Massnahemn vorgehen;22; ; ; ; ;Es gibt keine andere Gründe sonder handeln;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;10;10;5;2;8;9;7;2;7;10;10;10;10;10;8;5;10;2;5;1;1;1;1;1;6;1;1;1;4;4;4;4;2;2;1;1;4;3;4;4;1;1;1;1;1;1;1;3;1;1;1;1;1;3;1;4;4;1;2;2;4;4;1;4;4;1;1;1;2;1;2;4;1;4;1;2;10;10;10;10;10;98;10;0;5;0;0;0;0;0;0;0;0;0;0;0;5;98;10;1;1;10;1;1;1;2;1;6;22;7;3;33;10;2;1;99999998;99999998;5;1;1;0.581616042;0.58417582;0.52766187;0.679241382;0.525167715
15669;20210613.65254.211;99999998;99999998; ;1986;2;2;1;8;8;8;8;8;8;8;8;8;8;8;1;2;99999998;4;99999998;5;99999998; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ; ; ;2;99999998;4;99999998;8;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ; ; ; ;17; ; ; ; ; ; ;Zu extreme Vorschriften;63; ; ; ; ;Kann von den Ch-BAuern nicht umgesetzt werden.;2;99999998;4;99999998;5;99999998; ; ; ; ; ;99999998; ; ; ; ;99; ; ; ; ; ; ; ; ;2;99999998;4;99999998;5;99999998; ; ; ; ; ;99999998; ; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ;1;1;99999998;99999998;3;42; ; ; ; ;Wenn man  nichts zu verbergen hat, stört ÜBerwachung nicht.;99; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;8;5;5;1;3;7;8;5;4;3;7;8;2;10;2;98;7;4;9;2;2;5;4;9;8;8;2;3;3;8;4;2;1;3;2;3;3;1;1;2;3;8;1;1;2;2;1;4;4;3;1;8;8;8;8;8;8;8;1;1;2;2;1;4;4;4;1;1;2;1;1;4;4;4;8;1;7;0;0;8;0;6;0;0;0;0;1;7;0;0;5;98;98;3;1;0;98;3;9;4;1;8;1;1;1;2;1;4;51;3;99999998;33;23;2;2;32;3;98;8;1;0.935534363;0.939651787;1.202866754;0.815706738;0.844736747
16087;20210613.66401.211;99999998;99999998; ;1980;2;3;2;1;0;0;0;0;0;0;0;0;0;0;99;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ; ; ;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;5;5;3;5;3;7;5;3;5;5;6;5;5;7;5;5;5;3;5;3;3;3;4;4;6;2;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;4;18;1;1; ;2;99999998;40;3;99999998;33;10;1;3;99999998;99999998;8;1;1;1.892957842;1.89485954;1.897169247;1.893534719;1.902944832
10148;20210613.50369.211;99999998;99999998; ;1972;2;1;1;8;8;8;8;8;8;8;8;8;8;8;9;1;4;99999998;99999998;8;42;55; ; ; ; ; ; ;Wir benötigen saubers Trinkwasser. Oft ist das Wasser jetzt schon belastet. Es ist hächste Zeit;98; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;1;4;99999998;99999998;10;40;50;54;57; ; ; ; ; ; ;Pestizide machen die Umwelt kapput. Es hat bereits im Trinkwasser. Bauern werden krank + wir auch;98; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;1;4;99999998;99999998;9;25; ; ; ; ;Der Bundesrat hat + macht seine Aufgabe tiptop. Da gehört dieses Gesetz dazu.;99; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ;1;4;99999998;99999998;10;53; ; ; ; ;Wir haben nur eine Welt, zu diesem Thema gibt es keine Alternativen;45;22; ; ; ; ;Es ist dringend. Ich hoffe, dass die Politik trotzdem dran bleibt.;99999998; ; ; ; ;99999998; ; ; ; ; ;1;4;99999998;99999998;7;99; ; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;7;5;4;4;3;7;4;6;3;7;3;8;9;8;8;0;3;1;5;6;1;2;3;6;6;1;1;1;1;1;1;3;4;3;1;1;2;2;2;2;3;8;1;1;1;2;1;4;4;4;1;1;1;1;1;4;4;4;1;1;1;1;1;3;3;4;1;1;3;1;1;3;3;4;4;2;9;8;7;2;0;0;0;6;0;0;5;0;0;0;0;4;2;0;3;0;6;4;6;2;1;10;9;1;1;9;1;9;32;3;99999998;32;21;3;3;99999998;99999998;9;1;2;0.906316821;0.901385258;0.797914821;1.027128919;0.794143233
10203;20210613.50516.211;99999998;99999998; ;2000;1;3;1;8;8;8;8;8;8;8;8;8;8;8;17;1;4;99999998;99999998;8;99; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;1;4;99999998;99999998;8;99; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;1;4;99999998;99999998;4;99; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ;1;2;99999998;99999998;7;99; ; ; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ; ; ;2;99999998;4;99999998;5;99999998; ; ; ; ; ;99999998; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ; ; ;8;7;8;8;8;8;8;3;8;8;8;8;8;8;8;8;5;1;3;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;2;2;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;3;2;2;1;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;8;3;4;9;1; ;2;99999998;33;3;99999998;32;10;2;4;33;3;3;3;1;0.693598411;0.689824318;0.61063906;0.786055129;0.793098152
11095;20210613.53004.211;99999998;99999998; ;1972;1;2;1;8;8;8;8;8;8;8;8;8;8;8;3;2;99999998;4;99999998;5;99999998; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;61; ; ; ; ; ;Das Aus für unsere Landwirtschaft;15;100; ; ; ;War viel zu radikal;2;99999998;4;99999998;5;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ; ; ; ;60;61; ; ; ; ; ;Das wäre das Aus für unsere Landwirtschaft gewesen.;17;63; ; ; ;Viel zu radikal.;1;4;99999998;99999998;4;29; ; ; ; ;Es gab aus meiner Siocht gar keine andre Alternative.;99; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ;2;99999998;2;99999998;6;99999998; ; ; ; ; ;99999998; ; ; ; ; ; ;37; ; ; ;Viel zu grosses Bürokratie-Monster.;31; ; ; ; ;Es wäre eine reine Geldrumschieberei geworden.;1;4;99999998;99999998;7;99; ; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;7;6;4;2;6;6;4;1;6;3;6;6;5;8;3;0;8;3;5;1;4;3;5;2;3;3;1;1;4;3;3;1;1;1;1;1;3;3;3;1;2;1;1;1;2;1;2;2;2;3;1;3;2;3;2;1;2;2;1;1;1;1;2;4;4;4;1;1;3;1;1;3;4;4;3;3;4;3;7;6;2;4;6;8;2;3;4;4;4;0;5;3;3;4;3;2;6;2;6;3;1;10;3;1;1;1;1;1;32;3;99999998;32;10;1;1;99999998;99999998;11;1;1;0.689905292;0.692941667;0.625905564;0.60153899;0.62294703
11444;20210613.53927.211;99999998;99999998; ;1957;1;3;1;8;8;8;8;8;8;8;8;8;8;8;3;2;99999998;4;99999998;5;99999998; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ; ; ;2;99999998;4;99999998;5;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4;99999998;99999998;7;99; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ;2;99999998;4;99999998;8;99999998; ; ; ; ; ;99999998; ; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ;1;4;99999998;99999998;7;99; ; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;5;5;2;2;5;7;5;3;5;5;4;5;5;8;5;0;5;3;4;6;6;3;5;3;2;1;1;1;2;3;3;1;2;2;1;1;3;3;3;2;2;1;1;1;8;2;2;3;4;3;1;1;3;2;3;3;3;2;1;1;2;2;2;3;3;3;1;1;1;1;1;3;3;4;4;3;8;0;10;0;7;3;0;7;0;0;0;0;0;0;5;3;3;0;0;3;5;0;98;4;2;98;3;1;2;2;1;2;31;3;99999998;31;10;1;1;99999998;99999998;10;1;2;0.553640051;0.556076702;0.502281099;0.482727239;0.499906913
11936;20210613.55228.211;99999998;99999998; ;1964;1;2;2;1;0;0;0;0;0;0;0;0;0;0;17;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ;99999998; ; ; ; ; ;99999998;99999998;99999998;99999998;99999998;99999998; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ; ; ;99999998; ; ; ; ; ;10;10;6;9;98;10;10;5;98;7;10;10;10;10;10;98;5;3;3;4;4;5;1;2;4;2;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;4;6;2;2;2;1;6;52;3;99999998;33;10;2;1;99999998;99999998;98;1;2;3.726388731;3.730132326;3.734679107;3.727524345;3.746048655
