CODERESP;SECURITYID;BIRTHYEARR;CONTROL1;CONTROL3;CONTROL3@;S11;POLINT;PART;NONVOTE_01;NONVOTE_02;NONVOTE_03;NONVOTE_04;NONVOTE_05;NONVOTE_06;NONVOTE_07;NONVOTE_08;NONVOTE_09;NONVOTE_10;NONVOTE_98;PARTY15;VOTE1;VOTE1A;VOTE1B;VOTE1C;IMPORTANCE1;REASON1ACC1;REASON1ACC1_01;REASON1ACC1_02;REASON1ACC1_03;REASON1ACC1_04;REASON2ACC1;REASON2ACC1_01;REASON2ACC1_02;REASON2ACC1_03;REASON1DEN1;REASON1DEN1_01;REASON1DEN1_02;REASON1DEN1_03;REASON2DEN1;REASON2DEN1_01;REASON2DEN1_02;REASON2DEN1_03;VOTE2;VOTE2A;VOTE2B;VOTE2C;IMPORTANCE2;REASON1ACC2;REASON1ACC2_01;REASON1ACC2_02;REASON1ACC2_03;REASON1ACC2_04;REASON2ACC2;REASON2ACC2_01;REASON2ACC2_02;REASON2ACC2_03;REASON1DEN2;REASON1DEN2_01;REASON1DEN2_02;REASON1DEN2_03;REASON2DEN2;REASON2DEN2_01;REASON2DEN2_02;REASON2DEN2_03;VOTE3;VOTE3A;VOTE3B;VOTE3C;IMPORTANCE3;REASON1ACC3;REASON1ACC3_01;REASON1ACC3_02;REASON1ACC3_03;REASON2ACC3;REASON2ACC3_01;REASON2ACC3_02;REASON2ACC3_03;REASON1DEN3;REASON1DEN3_01;REASON1DEN3_02;REASON1DEN3_03;REASON2DEN3;REASON2DEN3_01;REASON2DEN3_02;REASON2DEN3_03;REASON2DEN3_04;TRUST_1;TRUST_2;TRUST_3;TRUST_4;TRUST_5;TRUST_6;TRUST_7;TRUST_8;TRUST_9;TRUST_10;TRUST_30;TRUST_33;TRUST_34;TRUST_38;TRUST_39;TRUST_40;TRUST_41;TRUST_42;LRSP;VALUE4;VALUE7;VALUE8;VALUE10;DIFFICUL1;DECTIME1;ARGU1_1;ARGU1_2;ARGU1_3;ARGU1_4;ARGU1_5;ARGU1_6;DIFFICUL2;DECTIME2;ARGU2_1;ARGU2_2;ARGU2_3;ARGU2_4;ARGU2_5;ARGU2_6;DIFFICUL3;DECTIME3;ARGU3_1;ARGU3_2;ARGU3_3;ARGU3_4;ARGU3_5;ARGU3_6;COVID1A;COVID1B;COVID1C;VACC;PFLEGE1;PFLEGE2_1;PFLEGE2_2;JUSTI_1;JUSTI_2;ONLINE;MEDIAUSE_1;MEDIAUSE_2;MEDIAUSE_3;MEDIAUSE_4;MEDIAUSE_5;MEDIAUSE_6;MEDIAUSE_7;MEDIAUSE_8;MEDIAUSE_9;MEDIAUSE_10;MEDIAUSE_11;MEDIAUSE_12;MEDIAUSE_13;MEDIAUSE_14;MEDIAUSE_15;MEDIAUSE2_1;MEDIAUSE2_2;MEDIAUSE2_3;MEDIAUSE2_4;MEDIAUSE2_5;MEDIAUSE2_6;MEDIAUSE2_7;MEDIAUSE2_8;DISCUS;VOTEWIE;PART2;PARTYA;CITIZENREPA;ORIGINPARENTS;CONFESSR;CONFESSD;CULT;EDUC;ACTI;ACTIPREV;S17JOBPOSITION;WORKLOAD;S17SECTOR;MAINEARNER;EDUCMAIN;ACTIMAIN;INCOME;INCOMEPRECARIAT;HABITAT;GEWVORL1;GEWVORL2;GEWVORL3
10001;20211128.77153.212;1984;99999998;99999998; ;2;3;1;8;8;8;8;8;8;8;8;8;8;8;6;1;2;99999998;99999998;6;Zeit fpr die Menschen, Nächstenliebe;12; ; ; ;Viele Freunde und Bekannte in Pflegeberufen.;15; ; ; ;99999998; ; ; ;99999998; ; ;1;8;99999998;99999998;2; ;99; ; ; ; ; ; ; ; ;99999998; ; ; ;99999998; ; ;1;4;99999998;99999998;10;Stehe hinter dem Bund und seiner Strategie in der Covid Krise. Bin unterdessen 3fach geimpft.;20; ; ;Krisen brauchen Regeln und Gesetze.;23; ; ; ;99999998; ; ; ;99999998; ; ; ;8;8;5;6;5;7;10;5;5;7;9;8;0;9;8;9;0;9;3;1;8;4;3;1;2;1;1;1;8;8;4;2;8;8;8;8;8;8;8;1;1;1;2;1;4;4;4;2;8;3;1;4;2;4;8;8;1;0;0;0;4;0;0;2;8;0;5;7;8;8;0;5;5;5;5;5;2;8;3;9;3;1;7;6;1;1;1;1;6;51;3;99999998;32;10;2;1;99999998;99999998;5;1;1;1.201662919;1.310507437;1.323745678
10002;20211128.87021.212;1998;99999998;99999998; ;2;3;1;8;8;8;8;8;8;8;8;8;8;8;11;1;4;99999998;99999998;7; ;99; ; ; ; ; ; ; ; ;99999998; ; ; ;99999998; ; ;3;99999998;99999998;4;0; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ;2;99999998;3;99999998;10; ;99999998; ; ; ;99999998; ; ; ;99; ; ; ; ; ; ; ;5;5;6;3;5;6;5;8;7;8;6;3;5;5;6;7;6;5;2;1;6;4;1;1;1;1;1;1;1;8;4;2;8;8;8;2;2;3;8;1;1;4;4;4;1;8;1;3;8;3;5;4;8;4;8;8;1;8;5;8;10;9;6;0;7;0;6;5;0;4;0;7;7;0;5;2;2;7;1;9;1;1;10;11;1;2; ;2;99999998;40;3;99999998;33;10;1;1;99999998;99999998;5;3;1;0.217703617;0.205830393;0.21579791
10003;20211128.80068.212;1970;99999998;99999998; ;1;3;1;8;8;8;8;8;8;8;8;8;8;8;3;1;2;99999998;99999998;8;Valorisation des métiers pénibles mais importants de la santé;21; ; ; ;"Le COVID m'a ""ouvert les yeux""";35; ; ; ;99999998; ; ; ;99999998; ; ;2;99999998;4;99999998;6; ;99999998; ; ; ; ;99999998; ; ;Je ne peux imaginer un tirage au sort !!!;30; ; ;Cela fonctionne plutôt bien actuellement;21; ; ;1;4;99999998;99999998;10;Il faut se donner tous les moyens pour sortir de cette situation;21;32; ;Certains secteurs (personnes) ont vraiment besoin d'aide;42; ; ; ;99999998; ; ; ;99999998; ; ; ;8;7;5;5;5;7;7;8;7;5;7;8;0;8;9;7;0;7;5;2;4;4;3;1;2;2;2;1;8;2;3;1;1;3;2;3;2;1;2;1;1;1;4;1;4;3;4;3;1;3;1;6;2;3;3;4;3;6;8;6;8;8;7;5;5;3;5;0;0;4;2;0;0;0;0;2;0;0;0;8;2;1;10;3;1;1;1;1;2;31;3;99999998;32;10;1;1;99999998;99999998;10;1;2;0.297626652;0.280847561;0.276256538
10005;20211128.86481.212;1996;99999998;99999998; ;1;3;2;0;0;0;1;0;0;0;1;0;0;0;16;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ; ;5;6;2;3;2;7;4;7;7;3;7;5;98;8;8;98;5;98;3;1;6;1;3;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;16;2;2; ;2;99999998;52;6;6;99999998;10;99999998;4;21;1;98;3;2;1.715075149;1.715470549;1.714839332
10007;20211128.86121.212;1961;99999998;99999998; ;1;2;1;8;8;8;8;8;8;8;8;8;8;8;9;1;4;99999998;99999998;8;Unterstützung;33; ; ; ;Dank an die geleistenden Dienste;31; ; ; ;99999998; ; ; ;99999998; ; ;2;99999998;8;99999998;5; ;99999998; ; ; ; ;99999998; ; ; ;99; ; ; ; ; ; ;1;4;99999998;99999998;10;Solidarität;44; ; ;Unterstützung des Bundesrats;24; ; ; ;99999998; ; ; ;99999998; ; ; ;8;8;6;5;6;8;8;7;7;7;9;9;0;6;8;8;2;9;7;4;4;2;8;1;2;1;1;1;8;8;4;1;2;3;3;3;2;2;2;1;2;2;2;2;4;4;4;2;1;3;1;4;2;3;3;3;2;7;7;8;0;4;4;2;5;5;8;98;98;0;0;0;98;98;5;98;98;8;5;98;2;1;6;9;1;1; ;2;99999998;32;7;3;32;10;2;3;99999998;99999998;9;1;2;0.50884542;0.436944311;0.560541492
10009;20211128.72922.212;1991;99999998;99999998; ;2;4;2;0;0;0;0;0;0;0;0;0;0;1;16;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ; ;2;2;2;0;1;7;2;2;2;4;2;2;98;7;2;4;5;5;5;3;3;2;6;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;1;16;1;1; ;2;99999998;52;3;99999998;32;22;1;2;33;3;8;2;2;1.295713955;1.296023123;1.295441793
10010;20211128.83597.212;1939;99999998;99999998; ;1;2;1;8;8;8;8;8;8;8;8;8;8;8;4;2;99999998;2;99999998;5; ;99999998; ; ; ; ;99999998; ; ; ;99; ; ; ; ; ; ;2;99999998;4;99999998;10; ;99999998; ; ; ; ;99999998; ; ; ;99; ; ; ; ; ; ;2;99999998;4;99999998;5; ;99999998; ; ; ;99999998; ; ; ;99; ; ; ; ; ; ; ;5;5;2;2;3;5;5;5;5;5;7;5;98;5;5;6;0;7;98;1;6;6;6;1;2;3;2;2;3;4;3;1;1;8;4;8;1;4;4;2;1;1;2;1;3;3;2;2;8;8;1;3;3;4;8;8;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;98;98;98;98;98;98;5;98;3;1;10;4;1;2;2;1;2;51;7;4;99999998;10;99999998;1;99999998;99999998;3;2;2;0.923686533;1.269130952;1.074164412
10012;20211128.77888.212;2002;99999998;99999998; ;1;3;1;8;8;8;8;8;8;8;8;8;8;8;16;2;99999998;2;99999998;6; ;99999998; ; ; ; ;99999998; ; ; ;99; ; ; ; ; ; ;2;99999998;4;99999998;7; ;99999998; ; ; ; ;99999998; ; ;Les individus doivent pouvoir être libre che choisir;30; ; ; ;99; ; ;1;2;99999998;99999998;6; ;99; ; ; ; ; ; ; ;99999998; ; ; ;99999998; ; ; ;4;4;5;5;6;5;4;4;7;5;5;4;4;5;4;5;4;4;5;5;4;4;5;2;2;2;4;4;4;4;1;2;3;3;3;2;4;3;1;2;1;4;2;4;4;4;1;2;1;3;1;6;4;3;4;3;3;5;8;6;5;3;3;2;2;3;2;8;1;2;2;2;5;3;3;2;2;2;2;4;3;2;10;7;1;2; ;2;99999998;33;9;6;99999998;98;99999998;8;99999998;99999998;5;3;2;0.700597695;0.765640186;0.753124242
10013;20211128.80191.212;1948;99999998;99999998; ;1;2;1;8;8;8;8;8;8;8;8;8;8;8;4;1;4;99999998;99999998;5;Onorare l'impegno dei collaboratori nel settore;31; ; ; ; ;99; ; ; ;99999998; ; ; ;99999998; ; ;2;99999998;4;99999998;9; ;99999998; ; ; ; ;99999998; ; ;Mi sembrava un assurdo perché anche le persone che sarebbero state chiamate giudicare le qualità dei giudici, prima di procedere al sorteggio, sarebbero state scelte dagli organi politici e quindi, più o meno, legate ai vari partiti.;34; ; ; ;99; ; ;1;4;99999998;99999998;10;Uno stato si regge sulle regole e il loro rispetto è fondamentale per la società. La libertà assoluta, che diventa anarchia, non esiste e non potrà mai esistere.;23; ; ; ;99; ; ; ;99999998; ; ; ;99999998; ; ; ;8;8;6;2;8;10;8;2;8;0;8;8;0;10;8;8;0;8;5;1;1;1;1;1;1;1;1;2;1;3;3;1;1;3;3;3;2;2;2;1;1;1;2;1;4;4;4;2;2;1;1;6;4;3;4;4;3;1;2;1;1;2;2;1;1;2;1;2;2;1;2;2;7;0;1;0;5;5;0;5;3;1;10;4;1;1;2;1;2;52;1;99999998;11;10;8;2;51;1;15;1;2;0.185449314;0.185647835;0.192245516
10015;20211128.88921.212;1994;99999998;99999998; ;2;3;2;0;0;0;1;0;0;0;0;0;0;0;9;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ; ;7;7;5;5;7;8;6;5;6;8;8;7;5;8;8;7;2;7;8;1;2;6;2;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;4;18;1;2; ;2;99999998;32;6;3;33;10;1;8;99999998;99999998;1;3;1;0.126187947;0.126646377;0.125942072
