CODERESP,SECURITYID,BIRTHYEARR,CONTROL1,CONTROL3,CONTROL3@,S11,POLINT,PART,NONVOTE_01,NONVOTE_02,NONVOTE_03,NONVOTE_04,NONVOTE_05,NONVOTE_06,NONVOTE_07,NONVOTE_08,NONVOTE_09,NONVOTE_10,NONVOTE_98,PARTY15,VOTE1,VOTE1A,VOTE1B,VOTE1C,IMPORTANCE1,REASON1ACC1_01,REASON1ACC1_02,REASON1ACC1,REASON2ACC1_01,REASON2ACC1,REASON1DEN1_01,REASON1DEN1_02,REASON1DEN1_03,REASON1DEN1,REASON2DEN1_01,REASON2DEN1_02,REASON2DEN1_03,REASON2DEN1,VOTE2,VOTE2A,VOTE2B,VOTE2C,IMPORTANCE2,REASON1ACC2_01,REASON1ACC2_02,REASON1ACC2_03,REASON1ACC2,REASON2ACC2_01,REASON2ACC2_02,REASON2ACC2_03,REASON2ACC2,REASON1DEN2_01,REASON1DEN2_02,REASON1DEN2_03,REASON1DEN2,REASON2DEN2_01,REASON2DEN2_02,REASON2DEN2_03,REASON2DEN2,VOTE3,VOTE3A,VOTE3B,VOTE3C,IMPORTANCE3,REASON1ACC3_01,REASON1ACC3_02,REASON1ACC3_03,REASON1ACC3,REASON2ACC3_01,REASON2ACC3_02,REASON2ACC3_03,REASON2ACC3,REASON1DEN3_01,REASON1DEN3_02,REASON1DEN3_03,REASON1DEN3_04,REASON1DEN3_05,REASON1DEN3,REASON2DEN3_01,REASON2DEN3_02,REASON2DEN3_03,REASON2DEN3,VOTE4,VOTE4A,VOTE4B,VOTE4C,IMPORTANCE4,REASON1ACC4_01,REASON1ACC4_02,REASON1ACC4_03,REASON1ACC4_04,REASON1ACC4,REASON2ACC4_01,REASON2ACC4_02,REASON2ACC4_03,REASON2ACC4,REASON1DEN4_01,REASON1DEN4_02,REASON1DEN4_03,REASON1DEN4_04,REASON1DEN4,REASON2DEN4_01,REASON2DEN4_02,REASON2DEN4_03,REASON2DEN4_04,REASON2DEN4,TRUST_1,TRUST_2,TRUST_3,TRUST_5,TRUST_6,TRUST_8,TRUST_9,TRUST_12,TRUST_15,TRUST_23,TRUST_24,TRUST_33,TRUST_41,TRUST_43,TRUST_44,TRUST_45,TRUST_46,TRUST_47,TRUST_48,TRUST_49,TRUST_50,LRSP,VALUE3,VALUE5,VALUE8,VALUE10,VALUE11,VALUE15,DIFFICUL1,DECTIME1,ARGU1_1,ARGU1_2,ARGU1_3,ARGU1_4,ARGU1_5,ARGU1_6,DIFFICUL2,DECTIME2,ARGU2_1,ARGU2_2,ARGU2_3,ARGU2_4,ARGU2_5,ARGU2_6,DIFFICUL3,DECTIME3,ARGU3_1,ARGU3_2,ARGU3_3,ARGU3_4,ARGU3_5,ARGU3_6,DIFFICUL4,DECTIME4,ARGU4_1,ARGU4_2,ARGU4_3,ARGU4_4,ARGU4_5,ARGU4_6,COVID1A,COVID1B,COVID1C,COVID1D,ONLINE,MEDIAUSE_1,MEDIAUSE_2,MEDIAUSE_3,MEDIAUSE_4,MEDIAUSE_5,MEDIAUSE_6,MEDIAUSE_7,MEDIAUSE_8,MEDIAUSE_9,MEDIAUSE_10,MEDIAUSE_11,MEDIAUSE_12,MEDIAUSE_13,MEDIAUSE_14,MEDIAUSE_15,MEDIAUSE2_1,MEDIAUSE2_2,MEDIAUSE2_3,MEDIAUSE2_4,MEDIAUSE2_5,MEDIAUSE2_6,MEDIAUSE2_7,MEDIAUSE2_8,DISCUS,VOTEWIE,PART2,MEDKONS_1,MEDKONS_2,MEDKONS_3,MEDKONS_4,MEDKONS_5,MEDKONS_6,MEDKONS_7,MEDKONS_8,MEDKONS_9,MEDKONS_10,MEDKONS_11,MEDKONS_12,MEDNR_1,MEDNR_2,MEDNR_3,MEDNR_4,MEDNR_5,MEDNR_6,MEDNR_7,MEDNR_8,MEDNR_9,MEDNR_10,MEDNR_11,MEDNR_12,MEDNR_13,MEDNR_14,MEDNR_15,MEDNR_16,MEDNR_17,MEDNR_18,MEDNR_19,MEDNR_20,MEDNR_21,MEDNR_22,MEDNR_23,MEDNR_24,MEDNR_25,MEDNR_26,MEDNR_27,MEDNR_28,MEDNR_29,MEDNR_30,MEDNR_31,MEDNR_32,MEDNR_33,MEDNR_34,MEDHAUPT,PARTYA,CITIZENREPA,ORIGINPARENTS,CONFESSD,CONFESSR,CULT,EDUC,ACTI,ACTIPREV,S17JOBPOSITION,WORKLOAD,S17SECTOR,MAINEARNER,EDUCMAIN,ACTIMAIN,INCOME,INCOMEPRECARIAT,HABITAT,GEWVORL1,GEWVORL2,GEWVORL3,GEWVORL4
10001,20220213.28395.213,1971,99999998,99999998, ,1,2,1,8,8,8,8,8,8,8,8,8,8,8,2,2,99999998,4,99999998,6,99999998, , ,99999998, ,36, , ,Leider sind Tierversuche unverzichtbar,99, , , ,1,4,99999998,99999998,10,24, , ,"Viele Menschen verfallen der Sucht in jungen Jahren. Es ist wichtig, hier anzusetzen.",99, , , ,99999998, , , ,99999998, , , ,2,99999998,1,99999998,5,99999998, , , ,99999998, , , ,99, , , , , , , , , ,2,99999998,4,99999998,7,99999998, , , , ,99999998, , , ,46, , , ,Es besteht kein Anlass die heutige Situation anzupassen.,99, , , , ,10,10,5,4,8,5,7,10,5,7,7,10,0,9,0,7,5,1,4,9,8,5,3,1,3,5,2,2,1,1,3,4,2,2,2,4,1,1,1,1,1,3,3,4,2,2,3,3,2,3,3,4,2,2,3,3,3,3,3,2,1,1,1,1,1,8,0,0,10,0,3,6,5,0,4,0,0,5,3,0,6,0,0,0,0,8,5,10,4,1,10,2,2,1,2,2,3,1,5,5,3,1,1,0,0,0,99999998,99999998,99999998,99999998,0,0,0,0,0,0,0,99999998,99999998,99999998,99999998,0,0,99999998,99999998,99999998,99999998,99999998,0,0,0,0,5,3,3,5,3,8,2,2,2,2, ,99999998,51,3,99999998,33,10,1,1,99999998,99999998,12,1,2,.643029720804197,.280986264857844,.643969382762002,.584642886996389
10003,20220213.23278.213,1971,99999998,99999998, ,1,2,1,8,8,8,8,8,8,8,8,8,8,8,17,2,99999998,2,99999998,8,99999998, , ,99999998, ,25, , ,"Forschung, Entwicklung, trotz Tierleibe.. habe 2 Katzen. Hoffe nicht desto trotz eines Tages das es ohne Tierversuche geht.",99, , , ,1,4,99999998,99999998,8,43, , ,Rauchen war nie gesund!,99, , , ,99999998, , , ,99999998, , , ,2,99999998,2,99999998,7,99999998, , , ,99999998, , , ,99, , , , , , , , , ,1,4,99999998,99999998,8,99, , , , , , , , ,99999998, , , , ,99999998, , , , ,9,7,7,7,9,7,8,9,7,9,9,9,6,8,4,9,7,7,6,7,9,7,2,2,2,4,5,1,2,3,1,2,1,1,2,3,1,1,1,1,1,3,3,3,2,2,2,3,2,2,4,1,2,2,2,2,2,2,2,2,1,1,1,1,3,8,3,3,3,1,1,1,3,1,1,1,1,1,1,1,98,98,98,98,98,98,98,98,8,8,8,4,4,2,3,1,5,2,5,5,5,4,3,3,98,1,99999998,99999998,99999998,99999998,0,2,0,0,1,3,3,99999998,99999998,99999998,99999998,0,0,99999998,99999998,99999998,99999998,99999998,0,0,0,0,4,2,4,5,4,8,1,2,2,1,2,1,21,3,99999998,33,10,1,1,99999998,99999998,5,2,1,.869148318142049,.379793859631841,.870418408129845,.94771453130314
10010,20220213.26174.213,1949,99999998,99999998, ,1,1,1,8,8,8,8,8,8,8,8,8,8,8,4,2,99999998,4,99999998,2,99999998, , ,99999998, ,36, , ,Möchte nicht ungeprobtes einnehmen,99, , , ,2,99999998,4,99999998,4,99999998, , , ,99999998, , , ,15, , ,Bin selbst Raucher,90, , ,Zu viele AHV Geld geht verloren,2,99999998,8,99999998,3,99999998, , , ,99999998, , , ,22, , , , ,Zu viel Geld geht verloren,25, , ,Mann kann nicht nur Geld ausgeben es muss auch etwas in die Kasse eingezahlt werde,2,99999998,4,99999998,5,99999998, , , , ,99999998, , , ,22, , , ,Nicht grosse sondern kleine brauchen Geld,12, , , ,Presse wird zu einseitig,8,4,4,4,4,4,4,7,3,5,5,5,3,8,4,8,3,1,3,4,2,5,4,5,6,3,5,5,8,1,4,3,4,1,2,2,1,1,2,2,1,2,1,2,1,1,2,3,2,2,3,1,1,1,3,3,3,2,1,1,1,1,1,1,2,10,10,10,5,3,3,1,0,8,8,5,1,0,6,1,0,0,3,0,0,9,8,8,3,1,10,5,2,2,2,2,1,1,5,5,4,1,1,2,0,98,99999998,99999998,99999998,99999998,5,2,1,0,0,1,1,99999998,99999998,99999998,99999998,0,0,99999998,99999998,99999998,99999998,99999998,98,0,2,0,5,5,3,5,3,4,3,1,1,1,2,4,32,7,1,11,10,1,1,99999998,99999998,7,1,2,.323328235213095,.263673691966104,.541336153313863,.416640559963067
10011,20220213.21965.213,1958,99999998,99999998, ,1,2,1,8,8,8,8,8,8,8,8,8,8,8,1,2,99999998,4,99999998,7,99999998, , ,99999998, ,24, , ,Ich bin der Meinung dass in der Schweiz eines der besten Tierschutz bereits besteht.,44, , ,Werden noch strengere Massnahmen beschlossen wenden sich andere Firmen ins Ausland versuche vornehmen bei welchen schlechtere Schutzmassnahmen gelten.,1,4,99999998,99999998,6,99, , , , , , , ,99999998, , , ,99999998, , , ,3,99999998,99999998,8,7,99999998, , , ,99999998, , , ,99999998, , , , , ,99999998, , , ,2,99999998,4,99999998,7,99999998, , , , ,99999998, , , ,22, , , ,Bedenken das der grösste teil des Geldes nur an die Grossen Verlage geht.,20,23, , ,Das Geld könnte nach meiner Ansicht für wichtigere Anliegen verteilt werden,6,5,4,6,7,5,5,5,5,4,4,8,2,5,4,5,5,7,6,6,4,2,5,5,4,6,1,2,1,1,3,2,4,1,1,4,1,1,1,2,1,3,2,2,8,8,8,8,8,8,8,8,1,1,4,8,4,1,1,4,1,1,8,1,3,2,3,5,98,2,2,3,4,98,1,98,98,98,3,5,5,2,2,0,98,4,0,2,3,1,7,1,3,1,1,1,1,1,3,5,5,3,1,3,0,4,99999998,99999998,99999998,99999998,0,4,0,0,0,1,1,99999998,99999998,99999998,99999998,0,0,99999998,99999998,99999998,99999998,99999998,4,0,0,0,5,2,3,1,3,10,1,1,1,1,2,2,32,98,99999998,99999998,98,99999998,8,99999998,99999998,1,2,1,.167216525080253,.0939334083718508,.188717696947765,.215475108750085
10014,20220213.24999.213,1962,99999998,99999998, ,1,1,1,8,8,8,8,8,8,8,8,8,8,8,2,2,99999998,4,99999998,2,99999998, , ,99999998, ,16, , ,Zu extremer Tierschutz,99, , , ,1,4,99999998,99999998,4,24, , ,Der Einstieg in das Rauchen soll vermieden werden,99, , , ,99999998, , , ,99999998, , , ,2,99999998,4,99999998,8,99999998, , , ,99999998, , , ,44, , , , ,Im Moment gibt es zu viel Umverteilung zugunsten der Reichen,99, , , ,1,4,99999998,99999998,8,35, , , ,Medienvielfalt ist wichtig für die Demokratie,99, , , ,99999998, , , , ,99999998, , , , ,4,3,4,1,10,8,0,10,4,5,8,10,0,7,0,7,7,0,3,7,8,2,1,2,1,1,6,1,1,1,2,2,4,2,8,8,1,1,1,1,1,3,4,4,1,1,4,3,4,1,1,3,1,1,1,2,1,3,4,4,1,1,1,1,3,8,7,4,0,0,0,0,7,2,0,0,0,0,0,0,5,0,0,0,5,5,2,5,2,1,10,5,2,4,4,3,5,5,5,3,5,1,1,2,3,5,99999998,99999998,99999998,99999998,4,0,0,5,5,0,0,99999998,99999998,99999998,99999998,0,0,99999998,99999998,99999998,99999998,99999998,0,0,0,3,98,98,2,5,2,98,2,1,1,1,2,2,60,3,99999998,31,10,1,1,99999998,99999998,13,1,1,.520267233665229,.292258641895079,.871063619859738,.51441198657365
10015,20220213.19124.213,1978,99999998,99999998, ,1,3,2,0,0,0,0,0,0,1,0,0,0,0,99,99999998,99999998,99999998,99999998,99999998,99999998, , ,99999998, ,99999998, , , ,99999998, , , ,99999998,99999998,99999998,99999998,99999998,99999998, , , ,99999998, , , ,99999998, , , ,99999998, , , ,99999998,99999998,99999998,99999998,99999998,99999998, , , ,99999998, , , ,99999998, , , , , ,99999998, , , ,99999998,99999998,99999998,99999998,99999998,99999998, , , , ,99999998, , , ,99999998, , , , ,99999998, , , , ,7,7,5,7,7,7,7,5,7,5,7,5,2,7,3,7,5,3,5,5,5,98,3,6,4,3,1,3,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,3,1,1,1,1,1,5,1,5,2,1,5,1,0,0,0,99999998,99999998,99999998,99999998,0,0,0,0,0,0,0,99999998,99999998,99999998,99999998,0,0,99999998,99999998,99999998,99999998,99999998,5,0,0,0,0,0,0,0,5,6,18,1,1,1,9,2,51,3,99999998,33,10,1,1,99999998,99999998,98,1,1,1.39220547871511,1.39891865856751,1.40855185673489,1.4027981298918
10020,20220213.17077.213,1959,99999998,99999998, ,1,1,1,8,8,8,8,8,8,8,8,8,8,8,17,2,99999998,4,99999998,7,99999998, , ,99999998, ,21, , ,Neue Medikamente für Mensch und Tier.,99, , , ,1,4,99999998,99999998,10,24, , ,Weniger zukünftige Raucher.,43, , ,Weniger Rauch = bessere Gesundheit.,99999998, , , ,99999998, , , ,2,99999998,4,99999998,2,99999998, , , ,99999998, , , ,40, , , , ,Kapital auch besteuern nicht nur Arbeit.,99, , , ,1,4,99999998,99999998,8,26, , , ,Pressevielfalt erhalten.,99, , , ,99999998, , , , ,99999998, , , , ,7,3,2,5,8,5,3,5,7,3,6,8,1,5,0,6,5,0,5,6,5,3,3,3,2,1,6,2,1,2,4,3,3,1,1,1,1,1,1,1,1,1,4,4,1,1,1,3,3,1,1,4,1,2,2,2,1,3,3,3,1,1,1,1,2,8,0,0,2,2,2,1,0,8,0,5,0,0,0,0,1,1,7,5,1,5,0,7,2,1,10,5,1,2,2,2,1,2,4,3,1,1,1,0,0,0,99999998,99999998,99999998,99999998,5,0,0,1,0,0,0,99999998,99999998,99999998,99999998,0,0,99999998,99999998,99999998,99999998,99999998,0,0,0,0,1,1,0,5,0,98,19,1,2,1,1,2,51,5,3,33,10,1,2,33,3,11,1,2,.474219485058744,.266391449807566,.793967627661688,.468882473459726
10025,20220213.27493.213,1987,99999998,99999998, ,1,1,1,8,8,8,8,8,8,8,8,8,8,8,1,2,99999998,4,99999998,5,99999998, , ,99999998, ,99, , , , , , , ,2,99999998,4,99999998,5,99999998, , , ,99999998, , , ,32, , ,"Geht mir zu weit, mit immer mehr Verboten!",32, , ,"Mir macht es langsam aber sicher angst, dass man für alles Verbote braucht",1,2,99999998,99999998,5,99, , , , , , , ,99999998, , , , , ,99999998, , , ,2,99999998,4,99999998,5,99999998, , , , ,99999998, , , ,99, , , , , , , , , ,2,4,8,8,5,8,8,2,5,5,5,2,8,8,5,3,3,98,98,6,2,9,4,5,5,6,2,9,1,1,3,3,4,1,1,8,1,1,3,3,2,1,1,1,1,1,2,1,2,3,3,3,1,1,3,3,3,2,2,1,1,1,1,1,3,5,0,9,9,0,3,3,0,0,0,3,0,0,0,0,98,98,98,98,98,98,98,4,2,1,10,4,4,3,3,1,4,1,4,3,2,4,1,98,98,98,99999998,99999998,99999998,99999998,98,98,98,98,98,98,98,99999998,99999998,99999998,99999998,98,98,99999998,99999998,99999998,99999998,99999998,98,98,98,98,98,98,98,98,98,6,1,1,1,2, ,99999998,98,1,99999998,11,10,1,1,99999998,99999998,98,1,1,3.66652864331455,2.99004862178229,2.75923650659104,4.72468649718881
10026,20220213.21662.213,1946,99999998,99999998, ,1,1,1,8,8,8,8,8,8,8,8,8,8,8,19,1,4,99999998,99999998,10,24, ,Tierwohl ist für mich zentral.,99, ,99999998, , , ,99999998, , , ,1,4,99999998,99999998,10,47, , ,Suchtproblematik: Werbung für Raucherware finde ich völlig dekadent.,99, , , ,99999998, , , ,99999998, , , ,2,99999998,4,99999998,8,99999998, , , ,99999998, , , ,43, , , , ,Völlig unnötige Vorlage - Stempelsteuer ist/bleibt wichtig.,99, , , ,2,99999998,4,99999998,7,99999998, , , , ,99999998, , , ,99, , , , , , , , , ,7,4,4,4,8,6,3,3,3,8,8,6,98,8,3,5,2,0,2,4,4,4,8,6,3,6,6,3,1,1,1,1,1,4,4,4,1,1,1,1,1,4,4,4,1,1,4,4,4,3,1,1,1,2,4,3,3,1,2,2,1,1,1,1,3,4,4,3,6,2,3,0,8,0,4,0,0,0,0,2,4,4,2,0,0,3,0,5,2,1,10,5,1,1,3,4,4,3,5,5,5,3,4,98,5,5,99999998,99999998,99999998,99999998,3,0,0,0,5,0,0,99999998,99999998,99999998,99999998,0,0,99999998,99999998,99999998,99999998,99999998,0,3,0,0,3,0,0,5,0,98,19,1,1,1,2,1,52,7,3,31,10,3,1,99999998,99999998,9,1,2,2.93876801956344,6.28580505085235,1.64609152062789,1.26691795607308
10031,20220213.26665.213,1991,99999998,99999998, ,1,1,2,0,1,0,0,0,0,0,0,0,0,0,3,99999998,99999998,99999998,99999998,99999998,99999998, , ,99999998, ,99999998, , , ,99999998, , , ,99999998,99999998,99999998,99999998,99999998,99999998, , , ,99999998, , , ,99999998, , , ,99999998, , , ,99999998,99999998,99999998,99999998,99999998,99999998, , , ,99999998, , , ,99999998, , , , , ,99999998, , , ,99999998,99999998,99999998,99999998,99999998,99999998, , , , ,99999998, , , ,99999998, , , , ,99999998, , , , ,8,7,5,5,9,5,5,5,8,5,5,5,0,7,5,7,5,0,5,5,5,6,5,5,8,5,8,2,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,10,5,4,4,4,4,5,4,4,5,4,4,4,0,1,1,99999998,99999998,99999998,99999998,5,5,0,0,1,1,0,99999998,99999998,99999998,99999998,1,1,99999998,99999998,99999998,99999998,99999998,5,5,5,5,5,3,0,0,5,1,3,1,1,1,2,2,51,3,99999998,32,10,1,1,99999998,99999998,10,1,2,1.06775705833472,1.07290575605273,1.08029397244379,1.07588113070284
