CODERESP;SECURITYID;BIRTHYEARR;CONTROL1;CONTROL3;CONTROL3@;S11;POLINT;PART;NONVOTE_01;NONVOTE_02;NONVOTE_03;NONVOTE_04;NONVOTE_05;NONVOTE_06;NONVOTE_07;NONVOTE_08;NONVOTE_09;NONVOTE_10;NONVOTE_98;PARTY15;VOTE1;VOTE1A;VOTE1B;VOTE1C;IMPORTANCE1;REASON1ACC1;REASON1ACC1_01;REASON1ACC1_02;REASON1ACC1_03;REASON1ACC1_04;REASON2ACC1;REASON2ACC1_01;REASON2ACC1_02;REASON2ACC1_03;REASON1DEN1;REASON1DEN1_01;REASON1DEN1_02;REASON1DEN1_03;REASON2DEN1;REASON2DEN1_01;REASON2DEN1_02;VOTE2;VOTE2A;VOTE2B;VOTE2C;IMPORTANCE2;REASON1ACC2;REASON1ACC2_01;REASON1ACC2_02;REASON1ACC2_03;REASON2ACC2;REASON2ACC2_01;REASON2ACC2_02;REASON1DEN2;REASON1DEN2_01;REASON1DEN2_02;REASON1DEN2_03;REASON2DEN2;REASON2DEN2_01;REASON2DEN2_02;VOTE3;VOTE3A;VOTE3B;VOTE3C;IMPORTANCE3;REASON1ACC3;REASON1ACC3_01;REASON1ACC3_02;REASON1ACC3_03;REASON1ACC3_04;REASON1ACC3_05;REASON2ACC3;REASON2ACC3_01;REASON2ACC3_02;REASON2ACC3_03;REASON2ACC3_04;REASON2ACC3_05;REASON1DEN3;REASON1DEN3_01;REASON1DEN3_02;REASON2DEN3;REASON2DEN3_01;REASON2DEN3_02;TRUST_1;TRUST_2;TRUST_3;TRUST_4;TRUST_5;TRUST_6;TRUST_8;TRUST_9;TRUST_18;TRUST_30;TRUST_32;TRUST_36;TRUST_37;TRUST_38;TRUST_39;TRUST_51;TRUST_52;TRUST_53;LRSP;VALUE1;VALUE2;VALUE4;VALUE5;VALUE6;VALUE8;VALUE12;VALUE13;DIFFICUL1;DECTIME1;ARGU1_1;ARGU1_2;ARGU1_3;ARGU1_4;ARGU1_5;ARGU1_6;DIFFICUL2;DECTIME2;ARGU2_1;ARGU2_2;ARGU2_3;ARGU2_4;ARGU2_5;ARGU2_6;DIFFICUL3;DECTIME3;ARGU3_1;ARGU3_2;ARGU3_3;ARGU3_4;ARGU3_5;ARGU3_6;COVID1A;COVID1B;COVID1C;ONLINE;MEDIAUSE_1;MEDIAUSE_2;MEDIAUSE_3;MEDIAUSE_4;MEDIAUSE_5;MEDIAUSE_6;MEDIAUSE_7;MEDIAUSE_8;MEDIAUSE_9;MEDIAUSE_10;MEDIAUSE_11;MEDIAUSE_12;MEDIAUSE_13;MEDIAUSE_14;MEDIAUSE_15;MEDIAUSE2_1;MEDIAUSE2_2;MEDIAUSE2_3;MEDIAUSE2_4;MEDIAUSE2_5;MEDIAUSE2_6;MEDIAUSE2_7;MEDIAUSE2_8;DISCUS;VOTEWIE;PART2;MEDKONS_1;MEDKONS_2;MEDKONS_3;MEDKONS_4;MEDKONS_5;MEDKONS_6;MEDKONS_7;MEDKONS_8;MEDKONS_9;MEDKONS_10;MEDKONS_11;MEDKONS_12;MEDHAUPT;MEDNR_1;MEDNR_2;MEDNR_3;MEDNR_4;MEDNR_5;MEDNR_6;MEDNR_7;MEDNR_8;MEDNR_9;MEDNR_10;MEDNR_11;MEDNR_12;MEDNR_13;MEDNR_14;MEDNR_15;MEDNR_16;MEDNR_17;MEDNR_18;MEDNR_19;MEDNR_20;MEDNR_21;MEDNR_22;MEDNR_23;MEDNR_24;MEDNR_25;MEDNR_26;MEDNR_27;MEDNR_28;MEDNR_29;MEDNR_30;MEDNR_31;MEDNR_32;MEDNR_33;MEDNR_34;PARTYA;CITIZENREPA;ORIGINPARENTS;CONFESSD;CONFESSR;CULT;EDUC;ACTI;ACTIPREV;S17JOBPOSITION;WORKLOAD;S17SECTOR;MAINEARNER;EDUCMAIN;ACTIMAIN;INCOME;INCOMEPRECARIAT;HABITAT;GEWVORL1;GEWVORL2;GEWVORL3
10005;20220515.35657.214;1999;99999998;99999998; ;2;3;2;0;0;0;0;0;0;0;1;0;0;0;4;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ;99999998; ; ;99999998; ; ; ;99999998; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ;99999998; ;8;8;5;5;8;8;8;8;7;5;9;2;3;10;10;7;6;7;4;1;2;1;9;3;3;2;2;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;5;1;2;1;1;2;1;1;1;1;1;1;1;99999998;0;0;0;99999998;99999998;99999998;99999998;0;0;0;0;0;0;0;99999998;99999998;99999998;99999998;0;0;99999998;99999998;99999998;99999998;99999998;0;0;0;0;1;0;0;1;1;4;1;1;1;2;3;31;4;99999998;99999998;10;99999998;8;99999998;99999998;98;1;8;1.500073112;1.490150579;1.501710766
10008;20220515.31682.214;1975;99999998;99999998; ;1;2;2;0;0;0;0;0;0;0;1;0;0;0;17;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ;99999998; ; ;99999998; ; ; ;99999998; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ;99999998; ;8;8;5;6;5;7;7;5;5;8;9;5;6;8;8;9;3;6;6;2;2;2;4;4;2;1;3;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;4;5;1;1;1;1;4;1;5;4;4;5;1;98;0;0;5;99999998;99999998;99999998;99999998;0;0;0;0;0;0;0;99999998;99999998;99999998;99999998;0;0;99999998;99999998;99999998;99999998;99999998;0;0;2;0;3;3;3;5;3;19;2;2;1;2;1;32;3;99999998;33;10;1;2;33;3;13;1;2;1.916656658;1.903897826;1.921103015
10012;20220515.45943.214;1952;99999998;99999998; ;1;1;1;8;8;8;8;8;8;8;8;8;8;8;1;2;99999998;4;99999998;8; ;99999998; ; ; ; ;99999998; ; ;Muss mit Fr. 1661.- p. Mt. leben + fiktives Einkommen wegen Eigenmietwert! Zahle jeden Monat F. 200.- Steuern = Altersarmut!;900; ; ;Konsumiere praktisch kein TV. Sponsoring f. reiche Leute - NEIN;404; ;2;99999998;4;99999998;10; ;99999998; ; ; ;99999998; ;Der Staat hat kein Recht auf meinen Körper.;201; ; ;Organe werden dem lebenden Körper entnommen;501; ;2;99999998;4;99999998;8; ;99999998; ; ; ; ; ;99999998; ; ; ; ;Geldverschwendung - Überbevölkerung der Schweiz - Frontex ist für die Katz.;408; ;Fühle mich fremd in meinem Heimatland. Diese sogenannten 'Flüchtlinge' haben (bekommen) mehr ald die AHV-Schweizer;305; ;0;0;2;0;5;3;0;5;0;1;10;0;3;6;8;1;0;9;8;8;6;6;6;1;5;1;1;1;1;4;4;4;3;1;1;2;1;4;4;4;1;1;1;1;1;4;4;4;3;1;1;1;1;3;3;5;0;0;5;1;0;1;5;9;0;0;0;1;0;6;5;6;1;0;2;1;4;0;2;1;10;1;2;3;1;2;3;2;2;1;3;1;3;3;98;1;2;99999998;99999998;99999998;99999998;2;1;2;0;0;0;0;99999998;99999998;99999998;99999998;3;2;99999998;99999998;99999998;99999998;99999998;2;1;2;0;0;0;3;2;1;1;1;1;1;1;2;32;1;99999998;11;10;1;1;99999998;99999998;1;3;2;0.513128847;0.480417848;0.751081215
10013;20220515.41564.214;2003;99999998;99999998; ;1;3;1;8;8;8;8;8;8;8;8;8;8;8;16;2;99999998;4;99999998;5; ;99999998; ; ; ; ;99999998; ; ;J'utilise Netflix et je craignais une augmentation des tarifs avec ce projet. De plus, je n'accroche pas au cinéma suisse en général.;207; ; ; ;999; ;1;4;99999998;99999998;8;Si une personne décède et que certains de ses organes peuvent sauver des vies, il faut pouvoir agir rapidement et ne pas devoir attendre un éventuel consentement.;201;502; ; ;999; ; ;99999998; ; ; ;99999998; ;1;4;99999998;99999998;7;Frontex permet de mieux protéger la Suisse aux frontières et avec tous les problèmes causés par la guerre en Ukraine, cela est encore plus important maintenant.;202;210;211; ; ; ;999; ; ; ; ; ;99999998; ; ;99999998; ;5;5;5;5;5;6;5;7;5;5;5;0;0;6;7;98;5;6;6;3;6;3;2;2;5;3;1;1;1;3;3;8;2;2;2;1;1;2;2;2;3;3;3;2;2;2;2;2;3;3;3;2;2;2;3;3;0;3;3;3;3;1;2;3;3;0;1;1;0;3;3;0;0;0;0;3;0;5;3;1;7;1;2;2;2;1;3;2;1;2;2;4;3;11;0;99999998;99999998;0;0;99999998;99999998;1;1;99999998;99999998;99999998;99999998;99999998;1;99999998;99999998;99999998;0;99999998;0;1;0;99999998;99999998;1;99999998;99999998;99999998;1;99999998;0;0;0;16;1;1;1;2;2;32;4;99999998;99999998;10;99999998;4;32;3;9;2;2;0.251941606;0.395719977;0.301572893
10014;20220515.44492.214;1982;99999998;99999998; ;2;1;1;8;8;8;8;8;8;8;8;8;8;8;1;2;99999998;2;99999998;3; ;99999998; ; ; ; ;99999998; ; ;Empfehlung Partei;902; ; ; ;999; ;2;99999998;4;99999998;9; ;99999998; ; ; ;99999998; ;Empfinde es als problematisch, wenn ein „sich nicht äussern“ automatisch als Zustimmung gelten soll.;203; ; ;Stehe Transplantationen grundsätzlich kritisch gegenüber;103; ;1;2;99999998;99999998;5;Profitieren, sollten auch zahlen Verhältnis zu EU schon genug gespannt;208; ; ; ; ; ;999; ; ; ; ; ;99999998; ; ;99999998; ;6;7;6;5;7;7;8;7;7;7;7;6;7;6;8;2;2;7;7;4;4;5;4;2;3;2;2;1;2;3;3;2;2;2;2;1;1;4;3;4;1;2;1;1;2;1;1;2;3;3;3;1;1;2;3;8;0;7;3;0;4;5;8;7;5;5;3;2;8;0;2;2;0;0;2;7;2;8;3;1;5;4;2;1;1;1;4;2;5;4;3;5;1;98;0;0;0;99999998;99999998;99999998;99999998;3;1;0;0;0;0;0;99999998;99999998;99999998;99999998;0;0;99999998;99999998;99999998;99999998;99999998;2;0;0;0;2;1;1;2;4;1;1;1;1;1;2;51;3;99999998;33;22;1;3;99999998;99999998;4;1;7;2.169878762;2.348366568;2.258456403
10016;20220515.33847.214;1939;99999998;99999998; ;1;1;1;8;8;8;8;8;8;8;8;8;8;8;1;2;99999998;8;99999998;2; ;99999998; ; ; ; ;99999998; ; ;Neues ist nicht immer besser;201; ; ;Es reicht.;201; ;2;99999998;4;99999998;5; ;99999998; ; ; ;99999998; ;Bin mir nicht sicher ob da gut kommt;502; ; ; ;999; ;2;99999998;8;99999998;1; ;99999998; ; ; ; ; ;99999998; ; ; ; ;Es reicht wie es war!;103; ; ;999; ;6;1;3;0;5;7;5;5;0;4;6;0;10;6;9;5;0;9;10;5;6;1;4;1;5;2;1;2;3;2;1;3;2;4;1;2;1;1;1;1;2;3;2;2;1;4;1;1;3;1;1;1;1;1;3;10;0;10;0;6;9;9;10;5;10;0;0;0;0;0;0;0;0;0;0;5;8;0;3;1;10;5;5;1;5;1;5;1;1;5;4;4;1;9;1;0;0;99999998;99999998;99999998;99999998;0;4;0;0;0;5;98;99999998;99999998;99999998;99999998;0;0;99999998;99999998;99999998;99999998;99999998;4;0;0;0;5;4;1;0;0;1;1;1;1;2;6;51;7;3;32;10;8;1;99999998;99999998;3;3;2;0.513128847;0.480417848;0.751081215
10021;20220515.40727.214;1979;99999998;99999998; ;2;2;2;0;0;0;0;0;0;0;1;0;0;0;5;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ;99999998; ; ;99999998; ; ; ;99999998; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ;99999998; ;5;5;5;4;0;8;6;2;6;5;5;0;3;5;9;9;0;5;3;3;1;1;1;6;1;6;4;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;9;4;2;2;3;2;4;1;4;1;2;5;3;98;0;5;5;99999998;99999998;99999998;99999998;5;0;0;5;5;0;0;99999998;99999998;99999998;99999998;0;0;99999998;99999998;99999998;99999998;99999998;0;0;0;0;0;0;0;5;5;5;1;1;2;99999998;99999998;52;3;99999998;33;23;1;2;52;3;15;2;2;2.471474813;2.471333239;2.471620239
10029;20220515.45487.214;1939;99999998;99999998; ;1;3;2;0;0;0;1;0;0;0;0;0;0;0;17;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ;99999998; ; ;99999998; ; ; ;99999998; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ;99999998; ;7;5;2;3;2;3;0;5;5;3;5;3;3;4;4;3;2;5;5;1;1;3;3;4;2;4;2;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;2;3;2;2;2;2;2;3;5;4;2;1;8;0;99999998;99999998;0;0;99999998;99999998;1;1;99999998;99999998;99999998;99999998;99999998;1;99999998;99999998;99999998;0;99999998;0;0;0;99999998;99999998;0;99999998;99999998;99999998;5;99999998;1;3;3;4;2;2;1;2;2;21;9;7;99999998;10;99999998;1;99999998;99999998;3;3;2;1.887607238;1.885796661;1.887952894
10034;20220515.33214.214;1981;99999998;99999998; ;1;2;2;0;0;0;0;0;0;0;1;0;0;0;9;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ;99999998; ; ;99999998; ; ; ;99999998; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ;99999998; ;7;8;4;7;5;9;6;6;7;8;8;4;6;8;8;8;2;7;2;1;2;2;3;4;3;4;4;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;1;2;1;1;2;5;2;1;2;5;1;1;6;99999998;99999998;99999998;99999998;99999998;0;0;1;1;99999998;99999998;99999998;99999998;99999998;99999998;0;0;1;99999998;99999998;99999998;99999998;99999998;1;1;4;99999998;99999998;99999998;4;99999998;0;0;0;5;1;1;2;99999998;99999998;32;1;99999998;12;10;8;1;99999998;99999998;9;2;2;0.760882442;0.760456973;0.76133389
10035;20220515.44483.214;1967;99999998;99999998; ;1;4;2;0;0;0;0;1;0;0;0;1;0;0;16;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ;99999998; ; ;99999998; ; ; ;99999998; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ;99999998; ;6;7;5;6;5;7;5;8;1;6;8;3;3;7;8;8;4;8;8;6;3;5;3;6;5;5;3;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;0;1;1;1;1;1;5;3;3;5;5;2;1;9;3;0;0;99999998;99999998;99999998;99999998;0;2;0;0;0;0;0;99999998;99999998;99999998;99999998;0;0;99999998;99999998;99999998;99999998;99999998;2;0;0;0;2;1;2;0;0;16;2;2;2;99999998;99999998;51;3;99999998;32;10;1;1;99999998;99999998;4;3;1;1.644790105;1.633910312;1.64658575
