"CODERESP","SECURITYID","BIRTHYEARR","CONTROL1","CONTROL3","CONTROL3@","S11","POLINT","PART","NONVOTE_01","NONVOTE_02","NONVOTE_03","NONVOTE_04","NONVOTE_05","NONVOTE_06","NONVOTE_07","NONVOTE_08","NONVOTE_09","NONVOTE_10","NONVOTE_98","PARTY15","VOTE1","VOTE1A","VOTE1B","VOTE1C","REASON1ACC1","REASON1ACC1_01","REASON1ACC1_02","REASON1ACC1_03","REASON2ACC1","REASON2ACC1_01","REASON2ACC1_02","REASON2ACC1_03","REASON2ACC1_04","REASON1DEN1","REASON1DEN1_01","REASON1DEN1_02","REASON1DEN1_03","REASON2DEN1","REASON2DEN1_01","REASON2DEN1_02","IMPORTANCE1","VOTE2","VOTE2A","VOTE2B","VOTE2C","REASON1ACC2","REASON1ACC2_01","REASON1ACC2_02","REASON1ACC2_03","REASON2ACC2","REASON2ACC2_01","REASON2ACC2_02","REASON2ACC2_03","REASON1DEN2","REASON1DEN2_01","REASON1DEN2_02","REASON1DEN2_03","REASON1DEN2_04","REASON2DEN2","REASON2DEN2_01","REASON2DEN2_02","REASON2DEN2_03","REASON2DEN2_04","IMPORTANCE2","VOTE3","VOTE3A","VOTE3B","VOTE3C","REASON1ACC3","REASON1ACC3_01","REASON1ACC3_02","REASON1ACC3_03","REASON2ACC3","REASON2ACC3_01","REASON2ACC3_02","REASON2ACC3_03","REASON1DEN3","REASON1DEN3_01","REASON1DEN3_02","REASON1DEN3_03","REASON2DEN3","REASON2DEN3_01","REASON2DEN3_02","REASON2DEN3_03","IMPORTANCE3","TRUST_1","TRUST_2","TRUST_3","TRUST_4","TRUST_5","TRUST_7","TRUST_8","TRUST_9","TRUST_10","TRUST_11","TRUST_25","TRUST_30","TRUST_31","TRUST_43","TRUST_55","TRUST_56","TRUST_57","LRSP","VALUE1","VALUE2","VALUE3","VALUE4","VALUE5","VALUE6","VALUE7","VALUE8","VALUE9","VALUE10","VALUE11","VALUE12","VALUE13","VALUE14","VALUE15","VALUE16","DIFFICUL1","DECTIME1","ARGU1_1","ARGU1_2","ARGU1_3","ARGU1_4","ARGU1_5","ARGU1_6","ZUSATZEFD","DIFFICUL2","DECTIME2","ARGU2_1","ARGU2_2","ARGU2_3","ARGU2_4","ARGU2_5","ARGU2_6","DIFFICUL3","DECTIME3","ARGU3_1","ARGU3_2","ARGU3_3","ARGU3_4","ARGU3_5","ARGU3_6","ONLINE","MEDIAUSE_1","MEDIAUSE_2","MEDIAUSE_3","MEDIAUSE_4","MEDIAUSE_5","MEDIAUSE_6","MEDIAUSE_7","MEDIAUSE_8","MEDIAUSE_9","MEDIAUSE_10","MEDIAUSE_11","MEDIAUSE_12","MEDIAUSE_13","MEDIAUSE_14","MEDIAUSE_15","MEDIAUSE2_1","MEDIAUSE2_2","MEDIAUSE2_3","MEDIAUSE2_4","MEDIAUSE2_5","MEDIAUSE2_6","MEDIAUSE2_7","MEDIAUSE2_8","DISCUS","VOTEWIE","PART2","MEDKONS_1","MEDKONS_2","MEDKONS_3","MEDKONS_4","MEDKONS_5","MEDKONS_6","MEDKONS_7","MEDKONS_8","MEDKONS_9","MEDKONS_10","MEDKONS_11","MEDKONS_12","MEDNR_1","MEDNR_2","MEDNR_3","MEDNR_4","MEDNR_5","MEDNR_6","MEDNR_7","MEDNR_8","MEDNR_9","MEDNR_10","MEDNR_11","MEDNR_12","MEDNR_13","MEDNR_14","MEDNR_15","MEDNR_16","MEDNR_17","MEDNR_18","MEDNR_19","MEDNR_20","MEDNR_21","MEDNR_22","MEDNR_23","MEDNR_24","MEDNR_25","MEDNR_26","MEDNR_27","MEDNR_28","MEDNR_29","MEDNR_30","MEDNR_31","MEDNR_32","MEDNR_33","MEDNR_34","MEDHAUPT","PARTYA","CITIZENREPA","ORIGINPARENTS","CONFESSD","CONFESSR","CULT","EDUC","ACTI","ACTIPREV","S17JOBPOSITION","WORKLOAD","S17SECTOR","MAINEARNER","EDUCMAIN","ACTIMAIN","INCOME","INCOMEPRECARIAT","HABITAT","GEWVORL1","GEWVORL2","GEWVORL3"
10946,"20230618.52542.231",1983,,,"",1,2,1,,,,,,,,,,,,16,1,4,,,"les multinationales doivent payer des impôts comme tout le monde: participation comme tout le mondo, en fonction du revenu",32,31,,"equité, egalité, limiter les profits honteux entreprises et impôts peuvent être multinationaux",41,31,32,,"",,,,"",,,10,1,4,,,"réalisable, pousse l'individu et les entreprises ainsi que les commones à changer de paradygme",33,,,"réduit notre dépendance energique. alligement financier en cas d'investissement dans des énergies vertes",36,47,,"",,,,,"",,,,,10,2,,4,,"",,,,"",,,,"liberté individuelle mieux respectée (choix du vaccin ou non)",25,,,"solution vaccinale douteux : Je la trouve utile pour les personnes à risque mais ne doit pas être rimposé aux autres pour vivre normalement. J'étais mon vacciné et je me avis senti rejeté voir dénigré.",27,43,42,7,6,5,7,2,7,8,8,8,9,5,1,7,10,10,9,98,8,4,4,2,1,2,3,5,6,3,1,2,6,1,1,5,1,5,1,1,1,1,1,1,1,3,1,1,1,1,1,1,4,3,3,2,1,3,2,3,1,1,1,3,3,4,7,8,1,0,0,2,2,2,0,0,0,98,98,0,6,0,0,0,0,0,6,2,2,9,3,1,2,1,1,98,2,4,3,2,1,98,0,,,0,1,,,1,0,,,,,,0,,,,0,,0,0,0,,,0,,,,1,,98,2,1,8,5,1,1,1,2,2,33,3,,33,21,1,3,,,8,2,2,0.348444645742905,0.443813278787928,0.370829916361176
13522,"20230618.59394.231",1968,,,"",2,2,1,,,,,,,,,,,,1,2,,2,,"",,,,"",,,,,"",99,,,"",,,98,2,,4,,"",,,,"",,,,"Europa wird untergehen weil wir zu wenig CO2 ausgestossen haben.",90,,,,"Es gibt kein Beweis dass der CO2 Ausstoss dem Klima überhaupt schadet. Die Schweizer werden verhungern weil es bald keine Landwirte mehr gibt.",43,,,,0,2,,4,,"",,,,"",,,,"Le vaccin Covid était plus néfaste qu'utile. Beaucoup de vacciné ont actuellement le cancer ou autre grave maladies",42,55,,"Chacun doit poivoir choisir soi-même. Die ungeimpften wurden sehr diskriminiert. Bundesrat Berset hat auch gelogen.",27,43,22,0,2,2,0,0,2,2,3,10,0,5,1,0,0,5,0,8,98,10,6,4,6,4,6,1,4,6,6,9,1,1,1,3,2,4,2,3,8,8,8,8,8,8,3,1,1,4,4,4,1,1,3,1,1,4,4,4,1,1,1,1,2,0,0,4,7,2,0,9,0,0,8,0,2,0,1,5,5,2,98,5,4,4,6,3,1,9,3,3,3,1,1,1,1,1,1,1,4,98,0,,,0,0,,,2,0,,,,,,0,,,,0,,0,0,0,,,0,,,,0,,1,0,0,3,1,1,1,1,1,6,32,98,,,23,,2,98,1,98,1,2,0.319688340857311,0.418586514045589,0.374053754265774
10577,"20230618.51552.231",1963,,,"",2,3,1,,,,,,,,,,,,1,1,8,,,"Die Informationen, die ich erhielt, haben mich überzeugt, diese Vorlage anzunehmen.",12,,,"Habe die Empfehlungen der verschiedenen Parteien und Parlament verglichen.",92,95,,,"",,,,"",,,3,2,,4,,"",,,,"",,,,"Diese Vorlage war mir zu extrem. Die zu erwartenden Kosten schienen mir zu hoch. Die kleine Schweiz kann das Klima nicht alleine verändern.",16,44,,,"Habe die Empfehlungen der verschiedenen Parteien und Parlament verglichen. Habe mich in diversen Medien informiert und mit Fachleuten gesprochen.",92,96,,,10,2,,4,,"",,,,"",,,,"Covid ist nicht schlimmer als eine Grippe. Finde ich uninteressant. Das Resultat: ob, angenommen oder abgelehnt, ist mir absolut egal.",41,11,,"Habe die Empfehlungen der verschiedenen Parteien und Parlament verglichen.",92,95,,0,5,5,2,3,5,8,0,5,5,8,5,5,8,5,0,0,3,6,3,6,3,2,6,3,3,4,1,3,6,1,1,1,3,1,1,2,1,1,2,8,8,3,2,1,1,2,3,3,1,1,2,1,1,2,2,1,2,3,1,3,7,0,7,10,10,8,7,5,3,6,1,0,0,0,0,5,0,0,0,5,5,0,10,2,1,10,4,3,2,2,1,4,3,2,3,5,5,2,0,0,0,,,,,4,3,0,4,0,0,0,,,,,0,0,,,,,,4,0,0,0,1,1,0,0,0,10,1,1,2,1,1,2,32,8,3,33,10,2,2,32,3,9,1,1,1.11788315933447,1.2209602982816,1.10911128071299
10904,"20230618.52422.231",1952,,,"",1,1,1,,,,,,,,,,,,1,1,4,,,"",99,,,"",,,,,"",,,,"",,,5,2,,4,,"",,,,"",,,,"Musterknabe Schweiz . Wird nicht weltweit mit gleichem Interesse verfolgt<U+0001F60F><U+0001F60F>",44,55,,,"",99,,,,5,2,,4,,"",,,,"",,,,"Finanzierung Pharma <U+0001F61B><U+0001F61B>",32,,,"Ueberwachungsstaad internationale Verknüpfung ( WHO)<U+0001F609><U+0001F609> Pharma <U+0001F609><U+0001F609> etc.",27,90,,2,3,4,5,2,3,3,2,3,4,1,3,1,3,8,1,8,3,9,6,6,4,6,6,1,6,6,4,6,1,1,1,6,2,6,1,1,2,2,1,1,2,1,1,1,1,2,3,3,1,1,2,1,1,4,3,4,1,1,1,3,3,3,5,1,3,3,1,5,5,2,0,0,0,2,5,1,2,4,4,2,4,4,3,2,1,10,1,4,4,1,4,5,4,5,4,3,5,3,0,1,0,,,,,5,5,5,5,0,0,0,,,,,3,2,,,,,,5,2,2,0,5,5,2,3,3,9,1,1,1,1,2,4,32,7,3,32,10,1,1,,,5,2,2,2.05564361442938,1.89732639688384,1.78814309715394
10428,"20230618.51121.231",1940,,,"",1,1,1,,,,,,,,,,,,3,2,,8,,"",,,,"",,,,,"bisogna essere sempre competitivi fiscalmente (purtroppo il ticino no)",34,,,"",99,,8,1,2,,,"utilizzo con buon senso senza estremismi costosi!",24,,,"",99,,,"",,,,,"",,,,,5,2,,4,,"",,,,"",,,,"di leggi ce ne sono già troppe e se ricapita il consiglio federale può sempre ricorrere al principio dell'urgenza (come già fatto)",29,,,"pandemia è finita e con un peso finanziario/psicologico proporzionato per tutti!!",23,55,,10,6,8,8,4,9,5,2,8,7,6,4,5,6,9,5,9,5,8,4,5,4,2,6,3,5,4,1,5,2,1,1,5,6,3,1,1,1,4,4,2,3,1,8,2,2,3,2,2,1,1,1,1,1,4,3,4,1,1,1,2,6,6,6,7,3,4,3,0,2,3,0,0,0,0,2,0,0,5,5,0,0,0,5,2,1,9,5,2,3,1,3,3,3,5,5,4,2,2,,,,,,5,3,0,1,,,,,,,1,0,3,,,,,,4,0,4,,,,4,,3,4,2,98,1,1,1,1,2,2,51,2,,,10,,1,,,15,1,2,0.987515354577728,0.670016053844235,0.628729471859636
13097,"20230618.58182.231",1982,,,"",2,2,1,,,,,,,,,,,,16,1,2,,,"Gerechtere Besteuerung von grossen Unternehmen. Schweiz kann profitieren davon.",31,,,"",99,,,,"",,,,"",,,4,2,,4,,"",,,,"",,,,"Höhere Preise für Strom und Energie.",31,,,,"Einseitige Betrachtungsweise bezüglich des Klimawandels bis zu einem richtiggehenden ""Hype"". Andere Studien sehen den Klimawandel auch in einem Zusammenhang mit einer erhöhten Sonnenaktivität.",41,43,,,6,2,,4,,"",,,,"",,,,"Dieses Gesetz führte zu einer Spaltung der Gesellschaft (Zertifikatspflicht). Menschen wurden aus dem sozialen Leben ausgeschlossen, unter Druck gesetzt und diskriminiert, obwohl schon früh bekannt war, dass die Corona Impfung nicht vor Übertragung der Krankheit schützt.",43,,,"Kritisches und vernetztes Denken wurde verpönt (einseitige Berichterstattung, kein Einbezug kritischer Wissenschaftler) Indirekter Impfzwang (Druck war gross, ein wenig geprüfter Impfstoff zu injizieren) Hauptfokus sollte in der Stärkung des Gesundheitssystems liegen.",42,43,,7,1,3,3,1,3,3,4,5,3,2,3,0,5,7,0,5,2,98,4,3,4,3,4,4,6,3,2,5,8,2,1,5,8,8,1,3,8,2,2,8,2,3,3,1,3,3,3,8,2,2,2,1,1,4,3,4,1,1,2,1,3,1,0,0,0,0,1,7,4,0,0,3,3,0,4,4,5,2,5,5,2,2,5,5,1,5,1,1,2,1,1,3,1,2,1,1,3,1,0,0,0,,,,,0,1,1,0,0,0,0,,,,,0,0,,,,,,1,0,0,0,0,0,0,1,1,98,16,1,1,1,2,2,52,3,,33,22,2,1,,,7,1,2,1.40345579408131,1.53685592252481,1.5319087323058
17069,"20230618.68745.231",1949,,,"",2,2,1,,,,,,,,,,,,9,1,4,,,"nous conformes aux règles internationales",32,,,"le bon sens",12,,,,"",,,,"",,,10,1,4,,,"en pensant aux générations futures",51,,,"essayer du sauver notre planète",53,,,"",,,,,"",,,,,10,2,,8,,"",,,,"",,,,"nous ne sommes pas en china",90,,,"il faut arreter de discriminer les gens qui n'ont pas été vaccines. je connais bien des personnes dans notre entourages vaccinés 2, 3 et 4 fois qui ont été très malades! il es absolument absurd de vacciner des enfants en bonne santé... quelle horreur!",43,42,,0,5,7,7,7,6,8,3,5,7,3,3,1,10,10,1,98,6,7,3,3,2,3,8,3,3,3,1,3,8,4,4,6,3,8,2,2,2,2,2,2,3,3,1,1,2,2,2,1,2,3,4,2,1,1,3,4,2,4,1,2,7,7,8,8,4,4,3,2,3,1,98,98,98,98,98,0,0,0,0,0,6,0,10,2,1,10,4,3,1,1,3,3,2,5,5,4,1,1,2,,,3,2,,,2,3,,,,,,0,,,,0,,3,0,0,,,0,,,,5,,0,3,0,98,9,1,1,1,2,2,32,7,3,33,10,1,8,,,98,1,2,0.491905128697551,0.626538621520212,0.523506789273891
16185,"20230618.66473.231",1958,,,"",1,2,1,,,,,,,,,,,,1,1,2,,,"Wir würden auf Steuereinnahmen verzichten. Zahlt ein Unternehmen bei uns nur 12%, so können andere Länder davon profitieren.",33,,,"",99,,,,"",,,,"",,,8,2,,4,,"",,,,"",,,,"",99,,,,"",,,,,10,2,,4,,"",,,,"",,,,"Diese Pandiemie war eine Nullnummer von vornherein. Mehr Impftote als Covid-Tote. ES GING NIE UM GESUNDHEIT SONDERN NUR UMS GELD.",42,55,39,"Lügenpresse, BR Berset unglaubwürdig, keine Fakten. Und wenn Fakten, dann falsch. Stümperhafte Lukas Engelberger etc. Es hat zu wenig Platz hier!",22,41,,10,1,1,7,1,2,1,1,1,0,0,1,0,0,7,0,8,1,8,5,6,5,5,5,2,5,5,2,6,1,1,1,1,2,5,1,2,3,4,2,2,3,4,1,1,1,4,2,4,1,1,1,1,1,4,4,4,1,1,1,1,0,1,0,4,6,1,2,4,1,1,1,0,7,0,2,5,5,1,2,5,0,0,1,5,1,10,1,1,5,1,1,1,1,1,1,1,3,4,0,0,98,,,,,0,0,5,0,0,0,0,,,,,0,0,,,,,,0,0,0,0,0,0,2,0,2,3,1,1,1,2,,,51,1,,11,21,1,1,,,8,1,2,1.42184610233326,1.40864193584162,1.53087204885806
10302,"20230618.50808.231",1976,,,"",1,2,1,,,,,,,,,,,,1,2,,4,,"",,,,"",,,,,"il y as déjà bien assez de taxe pour nos industries",32,15,,"Un risque d'inflation direct sur la population",41,,0,2,,4,,"",,,,"",,,,"Le climat n'est qu'une question de cycle et la Suisse fait déjà beaucoup d'effort.",21,43,,,"La Suisse n'est pas un grand polueur mondial. Pourquoi faire encore plus d'effort?",44,,,,7,2,,8,,"",,,,"",,,,"Nous avons déja voté deux fois pourquoi une troisième fois.",11,,,"Non à une société divisée pour une pandémie qui s'est averer un simple ruhme.",43,41,,10,0,0,5,0,0,0,0,0,0,0,0,0,0,9,0,7,0,7,5,6,4,5,3,1,5,6,3,1,3,1,1,6,1,8,1,1,2,3,3,8,2,1,1,1,1,2,3,4,1,1,3,1,1,4,4,4,1,1,1,3,6,6,6,2,2,2,6,6,6,0,7,4,0,0,6,0,3,3,5,7,0,0,0,4,2,10,4,5,2,1,3,3,4,5,5,5,5,5,0,,,1,0,,,1,3,,,,,,0,,,,0,,1,1,1,,,5,,,,5,,4,5,3,98,1,1,1,2,,,32,98,,,10,,1,,,1,3,1,0.657285117476113,0.548143568129987,0.61594158679529
16667,"20230618.67707.231",1999,,,"",1,3,1,,,,,,,,,,,,16,3,,,8,"",,,,"",,,,,"",,,,"",,,98,2,,4,,"",,,,"",,,,"Massnahmen sind übertrieben",16,,,,"Bin nicht dieser Meinung",11,,,,98,2,,4,,"",,,,"",,,,"Unnötig",16,,,"Das Thema ist vorbei, der Bund könnte das Geld an besseren Orten verwenden",23,32,,98,0,98,0,0,5,5,5,5,1,2,98,0,0,7,0,5,98,98,8,4,8,6,9,9,5,9,2,6,8,1,2,9,2,4,1,8,3,8,1,2,1,8,8,1,1,3,3,4,1,1,1,1,1,4,8,4,1,1,8,3,0,0,0,9,3,3,0,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,9,1,1,1,1,1,2,1,2,1,1,2,1,0,0,0,,,,,2,0,0,0,0,0,0,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,,16,1,1,2,,,33,1,,11,10,1,1,,,98,1,1,1.46107257784203,1.07612444441529,1.01419792615557
