CODERESP;SECURITYID;BIRTHYEARR;control1;control3;CONTROL3@;S11;POLINT;PART;NONVOTE_01;NONVOTE_02;NONVOTE_03;NONVOTE_04;NONVOTE_05;NONVOTE_06;NONVOTE_07;NONVOTE_08;NONVOTE_09;NONVOTE_10;NONVOTE_98;PARTY15;VOTE1;VOTE1A;VOTE1B;VOTE1C;REASON1ACC1;REASON1ACC1_01;REASON1ACC1_02;REASON1ACC1_03;REASON1ACC1_04;REASON1ACC1_05;REASON1ACC1_06;REASON1ACC1_07;REASON2ACC1;REASON2ACC1_01;REASON2ACC1_02;REASON2ACC1_03;REASON2ACC1_04;REASON2ACC1_05;REASON2ACC1_06;REASON2ACC1_07;REASON1DEN1;REASON1DEN1_01;REASON1DEN1_02;REASON1DEN1_03;REASON1DEN1_04;REASON1DEN1_05;REASON2DEN1;REASON2DEN1_01;REASON2DEN1_02;REASON2DEN1_03;REASON2DEN1_04;REASON2DEN1_05;IMPORTANCE1;VOTE2;VOTE2A;VOTE2B;VOTE2C;REASON1ACC2;REASON1ACC2_01;REASON1ACC2_02;REASON1ACC2_03;REASON1ACC2_04;REASON2ACC2;REASON2ACC2_01;REASON2ACC2_02;REASON2ACC2_03;REASON2ACC2_04;REASON2ACC2_05;REASON1DEN2;REASON1DEN2_01;REASON1DEN2_02;REASON1DEN2_03;REASON1DEN2_04;REASON1DEN2_05;REASON1DEN2_06;REASON2DEN2;REASON2DEN2_01;REASON2DEN2_02;REASON2DEN2_03;REASON2DEN2_04;IMPORTANCE2;TRUST_1;TRUST_2;TRUST_3;TRUST_4;TRUST_5;TRUST_6;TRUST_7;TRUST_8;TRUST_9;TRUST_10;TRUST_13;TRUST_16;TRUST_23;TRUST_29;TRUST_31;TRUST_63;LRSP;VALUE1;VALUE3;VALUE4;VALUE8;VALUE9;VALUE10;VALUE12;VALUE13;VALUE16;VALUE17;DIFFICUL1;DECTIME1;ARGU1_1;ARGU1_2;ARGU1_3;ARGU1_4;ARGU1_5;ARGU1_6;ZUSATZ1_1;DIFFICUL2;DECTIME2;ARGU2_1;ARGU2_2;ARGU2_3;ARGU2_4;ARGU2_5;ARGU2_6;ZUSATZ2_1;ZUSATZ2_2;ZUSATZ3;MEDEREI_1;MEDEREI_2;MEDEREI_3;ZUSATZ4;ZUSATZ5;ONLINE;MEDIAUSE_1;MEDIAUSE_2;MEDIAUSE_3;MEDIAUSE_4;MEDIAUSE_5;MEDIAUSE_6;MEDIAUSE_7;MEDIAUSE_8;MEDIAUSE_9;MEDIAUSE_10;MEDIAUSE_11;MEDIAUSE_12;MEDIAUSE_13;MEDIAUSE_14;MEDIAUSE_15;MEDIAUSE2_1;MEDIAUSE2_2;MEDIAUSE2_3;MEDIAUSE2_4;MEDIAUSE2_5;MEDIAUSE2_6;MEDIAUSE2_7;MEDIAUSE2_8;DISCUS;VOTEWIE;PART2;PARTYA;CITIZENREPA;ORIGINPARENTS;CONFESSD;CONFESSR;CULT;EDUC;ACTI;ACTIPREV;S17JOBPOSITION;WORKLOAD;S17SECTOR;MAINEARNER;EDUCMAIN;ACTIMAIN;INCOME;INCOMEPRECARIAT;HABITAT;GEWVORL1;GEWVORL2
10003;20240922.30553.242;1967;99999998;99999998; ;1;3;2;0;0;0;0;0;0;0;0;0;1;0;4;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998;99999998;99999998;99999998;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99998; ; ; ; ; ; ;99998; ; ; ;99999998;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;5;3;3;3;3;3;3;9;3;9;3;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;8;8;98;98;98;8;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;98;4;1;1;1;2;2;32;3;99999998;33;10;1;8;99999998;99999998;98;1;1;1,83090330639697;1,83709318413778
10007;20240922.45376.242;1980;99999998;99999998; ;1;2;1;8;8;8;8;8;8;8;8;8;8;8;3;2;99999998;4;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ;5;2;99999998;4;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ;8;9;7;6;5;7;9;7;4;7;3;7;8;4;98;8;7;6;2;4;3;3;2;4;5;2;2;3;1;1;2;2;1;1;1;8;2;1;1;2;3;2;1;1;2;2;3;2;2;1;1;3;1;3;10;7;8;9;7;7;7;6;0;5;98;0;0;9;0;5;2;0;98;7;8;5;10;3;2;10;3;2;2;2;99999998;99999998;51;3;99999998;32;10;1;1;99999998;99999998;13;2;2;,438104735922074;,492482065496051
10008;20240922.46691.242;2001;99999998;99999998; ;1;3;2;0;0;0;1;0;0;0;1;0;0;0;16;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998;99999998;99999998;99999998;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99998; ; ; ; ; ; ;99998; ; ; ;99999998;8;98;98;98;98;5;98;98;98;98;98;8;4;0;98;98;8;6;3;5;4;5;9;2;2;4;4;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;8;8;98;98;98;8;1;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;98;16;1;1;1;2;4;32;3;99999998;98;98;1;1;99999998;99999998;98;8;8;2,73398543190533;2,75540833997775
10010;20240922.37886.242;1981;99999998;99999998; ;1;3;1;8;8;8;8;8;8;8;8;8;8;8;1;2;99999998;4;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;Landwirt;56;21; ; ; ;Heimatschutz bei Bestehenden Gebäude, keine Neubauten/Umbauten sehr teuer. Visualisieren mit der Natur und nicht einfach Sperrzonen errichten.;54;13; ; ; ;10;2;99999998;4;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ;5;7;7;5;0;3;7;8;5;5;0;5;10;0;0;7;5;8;6;3;3;6;4;6;3;1;6;5;1;1;2;3;4;3;1;2;3;8;1;1;3;3;1;2;1;2;2;2;98;98;98;8;8;2;5;0;6;2;0;5;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;3;5;5;2;7;1;1;1;1;2;4;51;3;99999998;32;10;1;1;99999998;99999998;7;1;2;,61114006589005;,550520007728493
10016;20240922.33457.242;1961;99999998;99999998; ;1;2;1;8;8;8;8;8;8;8;8;8;8;8;1;2;99999998;4;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;Die jetzigen Bestimmungen genügen. Ist zu radikal;32;51;52; ; ; ;99; ; ; ; ;3;2;99999998;4;99999998; ;99998; ; ; ; ;99998; ; ; ; ;überladen, undurchsichtig;52;53; ; ; ; ;Die Folgen konnten nicht richtig dargelegt werden;53; ; ; ;3;3;3;5;5;5;7;3;4;3;5;5;3;0;3;3;5;7;3;4;4;6;4;5;2;1;4;4;1;1;3;3;2;3;2;1;3;1;1;4;2;3;2;1;3;3;4;2;1;1;1;3;1;3;7;4;7;8;4;4;4;7;3;5;5;3;3;5;7;5;3;3;3;3;7;3;8;3;1;10;1;1;1;1;2;4;51;3;99999998;33;10;2;1;99999998;99999998;7;1;1;,77291863899232;,696251479588152
10017;20240922.45747.242;1962;99999998;99999998; ;1;1;1;8;8;8;8;8;8;8;8;8;8;8;9;1;4;99999998;99999998;Ökologie;42; ; ; ; ; ; ; ;99; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ;10;1;4;99999998;99999998;Prämien der verschiedenen Altersklassen angleichen;36; ; ; ; ;99; ; ; ; ; ;99998; ; ; ; ; ; ;99998; ; ; ;6;8;7;6;6;4;9;6;4;4;8;8;4;7;7;9;7;4;1;1;3;2;1;2;5;6;2;1;2;1;1;1;1;2;3;4;2;2;2;2;2;2;4;4;4;2;4;2;1;1;1;4;1;2;9;9;9;2;2;2;2;2;4;7;2;0;0;0;0;2;2;2;1;1;8;2;9;3;1;10;9;2;2;1;1;4;51;3;99999998;33;10;1;1;99999998;99999998;12;1;2;,365563794834794;,29779953135148
10018;20240922.31512.242;1991;99999998;99999998; ;1;3;1;8;8;8;8;8;8;8;8;8;8;8;4;2;99999998;4;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;Die eigene Versorgung der Schweiz;56; ; ; ; ; ;99; ; ; ; ;10;2;99999998;4;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ;7;6;6;98;3;4;6;8;7;6;3;4;10;7;98;3;5;98;6;6;9;5;2;8;1;8;5;6;1;1;4;4;2;1;1;1;4;1;1;8;8;8;8;8;8;8;8;8;98;98;98;8;8;4;0;0;0;3;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;5;5;2;10;4;1;8;8;99999998;99999998;98;3;99999998;33;10;1;1;99999998;99999998;98;3;2;,614432900460141;,553486220245316
10019;20240922.35618.242;1958;99999998;99999998; ;2;3;1;8;8;8;8;8;8;8;8;8;8;8;16;2;99999998;2;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;Bekannte und Verwandte haben einen Landwirtschaftsbetrieb. Zu hohe Einschränkung für Landwirte.;22;94;56; ; ; ;99; ; ; ; ;5;2;99999998;2;99999998; ;99998; ; ; ; ;99998; ; ; ; ;Höhere Abzüge, weniger Rente.;31; ; ; ; ; ;Habe 'Arena' oder 'Eco' geschaut. Die Befürworter konnten keine guten Gründe liefern im Gegensatz zu den Gegnern.;96; ; ; ;8;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;8;8;8;2;2;8;2;3;3;8;1;2;2;8;2;2;8;2;8;1;2;3;2;8;1;2;8;2;3;8;98;1;1;4;4;8;3;6;6;6;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;1;98;16;1;1;1;2;9;32;7;3;32;22;1;3;99999998;99999998;98;2;1;,595935903305276;,536823972775385
10021;20240922.33244.242;1951;99999998;99999998; ;2;3;2;1;0;1;0;0;0;0;0;0;0;0;16;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998;99999998;99999998;99999998;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99998; ; ; ; ; ; ;99998; ; ; ;99999998;4;4;3;3;4;2;4;3;3;2;3;4;3;4;2;4;2;4;4;3;3;4;4;8;8;5;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;2;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;2;3;2;98;98;8;2;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;98;3;1;1;8;99999998;99999998;40;7;3;32;10;1;2;32;7;98;2;2;2,23409165861617;2,25159750911169
10022;20240922.42792.242;1957;99999998;99999998; ;2;2;1;8;8;8;8;8;8;8;8;8;8;8;4;2;99999998;2;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;Bundesmeinung;95; ; ; ; ;zu einseitig;51; ; ; ; ;6;2;99999998;4;99999998; ;99998; ; ; ; ;99998; ; ; ; ;Feichewerk;36;46; ; ; ; ; ;99; ; ; ;8;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;7;4;3;2;4;3;4;3;1;4;3;2;2;2;2;2;1;1;2;1;1;1;3;2;2;2;2;2;8;1;3;98;1;1;8;8;2;7;0;0;10;2;2;2;2;8;2;0;0;0;0;0;98;0;0;0;0;10;0;10;3;1;10;1;1;1;1;2;4;32;7;3;98;22;1;2;52;3;6;3;1;,472000539324086;,425181975555989
