CODERESP;SECURITYID;BIRTHYEARR;CONTROL1;CONTROL3;CONTROL3@;S11;POLINT;PART;NONVOTE_01;NONVOTE_02;NONVOTE_03;NONVOTE_04;NONVOTE_05;NONVOTE_06;NONVOTE_07;NONVOTE_08;NONVOTE_09;NONVOTE_10;NONVOTE_98;PARTY15;VOTE1;VOTE1A;VOTE1B;VOTE1C;IMPORTANCE1;REASON1ACC1;REASON1ACC1_01;REASON1ACC1_02;REASON1ACC1_03;REASON1ACC1_04;REASON1ACC1_05;REASON1ACC1_06;REASON2ACC1;REASON2ACC1_01;REASON2ACC1_02;REASON2ACC1_03;REASON2ACC1_04;REASON2ACC1_05;REASON1DEN1;REASON1DEN1_01;REASON1DEN1_02;REASON1DEN1_03;REASON1DEN1_04;REASON1DEN1_05;REASON1DEN1_06;REASON1DEN1_07;REASON2DEN1;REASON2DEN1_01;REASON2DEN1_02;REASON2DEN1_03;REASON2DEN1_04;REASON2DEN1_05;REASON2DEN1_06;VOTE2;VOTE2A;VOTE2B;VOTE2C;IMPORTANCE2;REASON1ACC2;REASON1ACC2_01;REASON1ACC2_02;REASON1ACC2_03;REASON2ACC2;REASON2ACC2_01;REASON2ACC2_02;REASON2ACC2_03;REASON1DEN2;REASON1DEN2_01;REASON1DEN2_02;REASON1DEN2_03;REASON2DEN2;REASON2DEN2_01;REASON2DEN2_02;REASON2DEN2_03;REASON2DEN2_04;REASON2DEN2_05;REASON2DEN2_06;VOTE3;VOTE3A;VOTE3B;VOTE3C;IMPORTANCE3;REASON1ACC3;REASON1ACC3_01;REASON1ACC3_02;REASON1ACC3_03;REASON1ACC3_04;REASON2ACC3;REASON2ACC3_01;REASON2ACC3_02;REASON2ACC3_03;REASON2ACC3_04;REASON1DEN3;REASON1DEN3_01;REASON1DEN3_02;REASON1DEN3_03;REASON1DEN3_04;REASON1DEN3_05;REASON1DEN3_06;REASON2DEN3;REASON2DEN3_01;REASON2DEN3_02;REASON2DEN3_03;REASON2DEN3_04;REASON2DEN3_05;VOTE4;VOTE4A;VOTE4B;VOTE4C;IMPORTANCE4;REASON1ACC4;REASON1ACC4_01;REASON1ACC4_02;REASON1ACC4_03;REASON1ACC4_04;REASON1ACC4_05;REASON2ACC4;REASON2ACC4_01;REASON2ACC4_02;REASON2ACC4_03;REASON2ACC4_04;REASON1DEN4;REASON1DEN4_01;REASON1DEN4_02;REASON1DEN4_03;REASON1DEN4_04;REASON2DEN4;REASON2DEN4_01;REASON2DEN4_02;REASON2DEN4_03;REASON2DEN4_04;REASON2DEN4_05;REASON2DEN4_06;TRUST_1;TRUST_2;TRUST_3;TRUST_4;TRUST_5;TRUST_7;TRUST_8;TRUST_9;TRUST_10;TRUST_16;TRUST_30;TRUST_49;TRUST_64;TRUST_65;TRUST_66;TRUST_67;LRSP;VALUE3;VALUE5;VALUE7;VALUE10;DIFFICUL1;DECTIME1;ARGU1_1;ARGU1_2;ARGU1_3;ARGU1_4;ARGU1_5;ARGU1_6;DIFFICUL2;DECTIME2;ARGU2_1;ARGU2_2;ARGU2_3;ARGU2_4;ARGU2_5;ARGU2_6;DIFFICUL3;DECTIME3;ARGU3_1;ARGU3_2;ARGU3_3;ARGU3_4;ARGU3_5;ARGU3_6;DIFFICUL4;DECTIME4;ARGU4_1;ARGU4_2;ARGU4_3;ARGU4_4;ARGU4_5;ARGU4_6;ZUSATZ1A241124;ZUSATZ2A241124;ZUSATZ3A241124_01;ZUSATZ3A241124_02;ZUSATZ3A241124_03;ZUSATZ3A241124_04;ZUSATZ3A241124_05;ZUSATZ3A241124_06;ZUSATZ3A241124_98;ZUSATZ3A241124@_05;ZUSATZ4A241124_1;ZUSATZ4A241124_2;ZUSATZ4A241124_3;ZUSATZ4A241124_4;ZUSATZ4A241124_5;ZUSATZ4A241124_6;ZUSATZ5A241124_01;ZUSATZ5A241124_02;ZUSATZ5A241124_03;ZUSATZ5A241124_04;ZUSATZ5A241124_05;ZUSATZ5A241124_06;ZUSATZ5A241124_07;ZUSATZ5A241124_08;ZUSATZ5A241124_98;ZUSATZ6A241124;ONLINE;MEDIAUSE_1;MEDIAUSE_2;MEDIAUSE_3;MEDIAUSE_4;MEDIAUSE_5;MEDIAUSE_6;MEDIAUSE_7;MEDIAUSE_8;MEDIAUSE_9;MEDIAUSE_10;MEDIAUSE_11;MEDIAUSE_12;MEDIAUSE_13;MEDIAUSE_14;MEDIAUSE_15;MEDIAUSE2_1;MEDIAUSE2_2;MEDIAUSE2_3;MEDIAUSE2_4;MEDIAUSE2_5;MEDIAUSE2_6;MEDIAUSE2_7;MEDIAUSE2_8;DISCUS;VOTEWIE;PART2;MEDHAUPT;PARTYA;CITIZENREPA;ORIGINPARENTS;CONFESSD;CONFESSR;CULT;EDUC;ACTI;ACTIPREV;S17JOBPOSITION;WORKLOAD;S17SECTOR;MAINEARNER;EDUCMAIN;ACTIMAIN;INCOME;INCOMEPRECARIAT;HABITAT;GEWVORL1;GEWVORL2;GEWVORL3;GEWVORL4;UNUSED
10001;20241124.50193.242;1959; ; ; ;2;3;1; ; ; ; ; ; ; ; ; ; ; ;99;1;1; ; ;3; ;999; ; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ;999; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;8; ;3; ; ; ; ; ; ; ; ; ; ; ;999; ; ; ; ; ; ;999; ; ; ; ;1;1; ; ;7; ; ; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;98;5;6;7;7;5;3;7;98;5;3;5;7;4;6;98;9;9;9;9;2;3;8;8;8;8;8;8;1;8;8;8;8;8;8;8;8;8;2;2;2;2;2;2;1;1;8;8;8;8;8;8;98;98;0;1;0;1;0;0;0; ;3;3;3;3;3;3;0;0;1;0;0;0;0;0;0;98;8;6;4;1;98;4;2;6;98;3;4;98;2;2;2;2;98;98;98;98;98;98;98;98;8;8;98; ;18;1;1;1;2;9;98;98; ; ;22; ;2;98;98;4;8;2;1,23167964734112;1,14817685182749;1,10679551559102;1,35752142995634;0
10005;20241124.56845.242;1975; ; ; ;1;1;1; ; ; ; ; ; ; ; ; ; ; ;5;2; ;4; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ;Ökologischer Wandel muss vorangerieben werden. Angat das die verlagerung auf die Schiene (Güterverkehr) gebremst würde. Ebenso die Verlagerung auf den ÖV.;504;501; ; ; ; ; ;Mehr Strassen = mehr Verkehr;302; ; ; ; ; ;2; ;4; ;0; ; ; ; ; ; ; ; ;Stimmempfehling Personalverbände / Gewerkschaften;903; ; ;Kleinunternehmen und Gastrobetriebe jätten probleme;404; ; ; ; ; ;2; ;4; ;2; ; ; ; ; ; ; ; ; ; ; ;999; ; ; ; ; ; ;998; ; ; ; ;1;2; ; ;4; ;999; ; ; ; ; ;998; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;6;6;2;5;5;9;5;8;5;4;5;8;4;4;3;3;2;3;4;3;1;1;4;3;3;1;2;1;2;2;3;2;3;1;2;1;2;2;2;3;2;8;2;3;2;3;2;2;3;2;3;2;2;3;1;1;0;0;0;0;0; ;2;2;4;98;2;1;0;1;1;0;0;0;1;0;0;2;1;2;3;8;4;3;0;3;5;3;5;8;4;0;1;0;2;1;2;2;2;6;5;6;3;1;8; ;5;1;1;1;1;3;33;3; ;32;10;2;8; ; ;10;2;8;,678837167837419;,719711664417869;,76668885962529;,515061057424148;0
10008;20241124.53201.242;1956; ; ; ;2;4;2;0;0;0;0;0;0;0;0;0;1;0;16; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;5;0;0;0;5;3;0;0;0;0;0;5;5;98;9;9;9;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;98;0;0;0;0;0;0;1; ;98;98;98;98;98;98;0;0;0;0;0;0;0;0;1;98; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;18;1;1;1;5;7;22;7;3;33;10;1;1; ; ;2;2;2;3,06883650887117;3,07753473658165;3,07709416735695;3,08389243500269;0
10011;20241124.58966.242;1979; ; ; ;2;1;2;0;0;0;1;0;0;1;0;0;0;0;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10;10;6;6;8;9;7;7;7;7;8;7;7;8;9;9;5;4;5;3;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;98;1;0;0;0;0;0;0; ;3;2;4;4;1;4;0;1;1;0;0;0;1;0;0;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ;3;2;2;1;1;2;52;3; ;32;21;1;3; ; ;15;1;2;1,02572995974619;1,0286372611725;1,02849000502124;1,03076226252941;0
10020;20241124.57738.242;1994; ; ; ;1;2;1; ; ; ; ; ; ; ; ; ; ; ;1;2; ;4; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ;#NAME?;901; ; ; ; ; ; ;BFF werden durch das Aufwärten von anderen Flächen kompenisert. Diese Aufwärtung löst bei mir viele kritische Fragen auf.;900; ; ; ; ; ;2; ;2; ;1; ; ; ; ; ; ; ; ;Für mich passt das aktuelle Mietrecht;301; ; ;Veränderung und Regulierung immer viele Ressourcen verbrauchen;100; ; ; ; ; ;1;2; ; ;4;bin selber eigentümer und werde in Zukunft eher als Vermieterposition sein;200;301; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ;9;Sie hilft unnötige Spitalaufenthalte zu vermeiden.;304; ; ; ; ;Sie fördert ambulante Behandlungen und reduziert Fehlanreize im Gesundheitswesen.;303;501; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;7;7;0;4;4;5;5;0;6;2;9;6;8;5;98;8;4;5;4;6;1;1;2;4;3;1;1;1;2;2;2;3;1;3;2;8;1;2;2;2;2;3;3;2;1;2;3;1;3;3;3;3;2;4;0;0;1;1;0;0;0; ;2;2;4;2;1;2;1;1;1;0;0;0;1;0;0;3;3;7;1;0;10;7;3;0;1;0;0;0;0;1;1;0;1;3;0;0;0;1;0;10;4;1;8; ;1;1;1;1;2;4;51;2; ; ;21; ;1; ; ;6;1;2;2,45599895041441;2,30951392211988;2,29606114043688;1,65385724326527;0
10023;20241124.60921.242;1990; ; ; ;1;1;2;0;0;0;1;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;3;98;0;7;3;5;7;4;10;5;7;98;7;98;98;9;4;6;6;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;1;0;1;0;0;0;0; ;4;4;3;4;1;1;1;1;0;1;1;1;1;0;0;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;1;1;1;1;2;2;51;3; ;98;10;1;3; ; ;8;1;1;1,80686514664737;1,81494714361139;1,81412682911952;1,8147434590251;0
10024;20241124.57016.242;1979; ; ; ;2;1;1; ; ; ; ; ; ; ; ; ; ; ;9;2; ;4; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ;Kulturlandverlust und zwiespältige Haltung des Bauernverbandes dazu, ob Kulturland für Autobahnausbau oder Biodiversität geopfert werden muss.  Mehrverkehr Indirekte Auswirkungen/Kosten Autoverkehr;400;500;302;401;503; ; ;Siehe Antwort davor;998; ; ; ; ; ;1;4; ; ;4;Mieterschutz ist zu stark;502; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;4;Mieterschutz zu stark;401; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;7;Gesundheitssystem überdenken. Finanzierung sollen gleich sein, unabhängig ob ambulant oder stationär Diskussionsbeginn zu weiteren Massnahmen, auch Einschränkung Leistungsangebot;302;404; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;7;6;8;4;7;6;4;7;2;5;4;5;4;4;4;3;3;3;3;3;1;1;8;3;3;2;2;2;1;1;2;3;2;3;2;3;1;1;8;2;2;3;3;3;1;1;2;2;2;3;3;3;3;2;0;0;0;1;0;0;0; ;2;2;3;98;1;2;1;1;1;0;0;0;1;0;0;1;3;7;7;7;7;0;0;0;7;0;7;5;0;0;7;0;5;4;0;0;4;7;0;6;3;1;10; ;9;1;1;1;2;2;52;3; ;32;10;2;1; ; ;11;2;2;,2318009168517;,208666773349729;,216705743058654;,156093562363302;0
10025;20241124.61983.242;1955; ; ; ;2;2;1; ; ; ; ; ; ; ; ; ; ; ;17;2; ;4; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ;Umweltschutz, ich glaube mit besseren Strassen gibt es immer mehr Autos;501;503; ; ; ; ; ;Gespräche mit meinen Kindern und Freunden;904; ; ; ; ; ;2; ;8; ;5; ; ; ; ; ; ; ; ;Es gibt genug Gesetze, bei Problemen im Mietrecht braucht der Mieter mehr Schutz als der Vermieter;301;502; ;ich bin Mieterin;203; ; ; ; ; ;2; ;8; ;8; ; ; ; ; ; ; ; ; ; ;Ich bin Mieterin und würde viel Zeit brauchen um eine passende Wohnung, zahlbare Wohnung zu finden;203; ; ; ; ; ;Habe trotzdem Verständnis für Vermieter, bin mit meinen Vermitern gut befreundet, trotzdem sind diese übervorteilt im Rechtlichen.;400;405; ; ; ;8; ; ; ;98; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;5;5;5;5;5;5;5;7;5;4;5;7;5;7;5;5;2;8;5;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;98;98;0;0;0;0;0;0;0; ;98;98;98;98;98;98;0;0;0;0;0;0;0;0;0;98;8;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;8;8;98; ; ;9;8;8; ; ;98;98; ; ;98; ;8; ; ;98;8;8;,643381614582519;,682121242951653;,726644827005536;,524891219258722;0
10026;20241124.64022.242;1978; ; ; ;1;2;1; ; ; ; ; ; ; ; ; ; ; ;1;2; ;4; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ;Nicht mehr Strasse für noch mehr Autos. Besser den ÖV günstiger machen bzw. ausbauen.;302;503;504; ; ; ; ; ;999; ; ; ; ; ;2; ;4; ;0; ; ; ; ; ; ; ; ; ;999; ; ; ;998; ; ; ; ; ;2; ;4; ;5; ; ; ; ; ; ; ; ; ; ; ;999; ; ; ; ; ; ;998; ; ; ; ;2; ;2; ;7; ; ; ; ; ; ; ; ; ; ; ;Hab das ganze Thema nicht so behandelt bzw. verstanden um ehrlich zu sein. Hätte mich intensiv damit beschäftigen sollen.;204; ; ; ; ;999; ; ; ; ; ;5;5;3;3;5;5;6;5;5;5;5;3;6;5;5;5;6;3;6;5;3;1;1;4;1;2;1;2;1;1;1;1;8;1;8;3;3;1;1;8;8;8;2;8;2;2;3;8;8;8;8;8;8;98;98;1;1;1;1;0;0;0; ;98;2;98;1;1;98;1;1;1;0;1;1;1;0;0;4;3;0;0;4;10;0;2;3;0;0;0;0;0;0;0;0;3;3;3;3;3;3;0;7;3;2;8; ;1;2;2;1;2;2;32;3; ;32;10;1;1; ; ;6;1;1;,91674434535926;,971943832636758;1,035384787416;,818206962501551;0
10032;20241124.63234.242;1971; ; ; ;1;1;1; ; ; ; ; ; ; ; ; ; ; ;4;2; ;2; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ;Problem nicht gelöst;301; ; ; ; ; ; ;zu viel Verkehr allgemein;302; ; ; ; ; ;8; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;5;Hohe Kosten;503; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;98;5;3;4;8;3;98;2;1;3;6;4;2;6;4;5;2;5;5;6;1;1;3;3;3;3;3;3;2;1;3;3;3;3;3;3;8;8;3;3;3;3;3;3;2;1;3;3;3;3;3;3;1;4;0;0;0;0;0;0;1; ;3;3;3;3;3;3;0;0;1;0;0;0;1;0;0;98;8;8;6;7;98;6;5;7;98;5;7;7;5;5;5;5;2;6;3;6;4;7;4;3;8;1;10; ;4;1;1;1;2;6;51;3; ;32;10;1;1; ; ;8;1;2;,0906856782980723;,0834738446341746;,0867896285932406;,0610672760623062;0
