"","CODERESP","SECURITYID","BIRTHYEARR","CONTROL1","CONTROL3","CONTROL3@","S11","POLINT","PART","NONVOTE_01","NONVOTE_02","NONVOTE_03","NONVOTE_04","NONVOTE_05","NONVOTE_06","NONVOTE_07","NONVOTE_08","NONVOTE_09","NONVOTE_10","NONVOTE_98","PARTY15","VOTE1","VOTE1A","VOTE1B","VOTE1C","IMPORTANCE1","REASON1ACC1","REASON1ACC1_01","REASON1ACC1_02","REASON1ACC1_03","REASON1ACC1_04","REASON1ACC1_05","REASON1ACC1_06","REASON2ACC1","REASON2ACC1_01","REASON2ACC1_02","REASON2ACC1_03","REASON2ACC1_04","REASON2ACC1_05","REASON2ACC1_06","REASON1DEN1","REASON1DEN1_01","REASON1DEN1_02","REASON1DEN1_03","REASON1DEN1_04","REASON2DEN1","REASON2DEN1_01","REASON2DEN1_02","REASON2DEN1_03","REASON2DEN1_04","REASON2DEN1_05","TRUST_1","TRUST_2","TRUST_3","TRUST_4","TRUST_5","TRUST_6","TRUST_7","TRUST_8","TRUST_9","TRUST_10","TRUST_16","TRUST_23","TRUST_55","LRSP","VALUE1","VALUE3","VALUE5","VALUE8","VALUE10","VALUE11","VALUE13","VALUE17","DIFFICUL1","DECTIME1","ARGU1_1","ARGU1_2","ARGU1_3","ARGU1_4","ARGU1_5","ARGU1_6","ONLINE","MEDIAUSE_1","MEDIAUSE_2","MEDIAUSE_3","MEDIAUSE_4","MEDIAUSE_5","MEDIAUSE_6","MEDIAUSE_7","MEDIAUSE_8","MEDIAUSE_9","MEDIAUSE_10","MEDIAUSE_11","MEDIAUSE_12","MEDIAUSE_13","MEDIAUSE_14","MEDIAUSE_15","MEDIAUSE2_1","MEDIAUSE2_2","MEDIAUSE2_3","MEDIAUSE2_4","MEDIAUSE2_5","MEDIAUSE2_6","MEDIAUSE2_7","MEDIAUSE2_8","DISCUS","VOTEWIE","PART2","MEDKONS_1","MEDKONS_2","MEDKONS_3","MEDKONS_4","MEDKONS_5","MEDKONS_6","MEDKONS_7","MEDKONS_8","MEDKONS_9","MEDKONS_10","MEDKONS_11","MEDKONS_12","MEDNR_1","MEDNR_2","MEDNR_3","MEDNR_4","MEDNR_5","MEDNR_6","MEDNR_7","MEDNR_8","MEDNR_9","MEDNR_10","MEDNR_11","MEDNR_12","MEDNR_13","MEDNR_14","MEDNR_15","MEDNR_16","MEDNR_17","MEDNR_18","MEDNR_19","MEDNR_20","MEDNR_21","MEDNR_22","MEDNR_23","MEDNR_24","MEDNR_25","MEDNR_26","MEDNR_27","MEDNR_28","MEDNR_29","MEDNR_30","MEDNR_31","MEDNR_32","MEDNR_33","MEDNR_34","MEDHAUPT","PARTYA","CITIZENREPA","ORIGINPARENTS","CONFESSD","CONFESSR","CULT","EDUC","ACTI","ACTIPREV","S17JOBPOSITION","WORKLOAD","S17SECTOR","MAINEARNER","EDUCMAIN","ACTIMAIN","INCOME","INCOMEPRECARIAT","HABITAT","GEWVORL1","UNUSED"
"1",10000,"20250209.71405.243",1967,"","","",2,4,2,"0","1","0","0","1","0","0","0","0","0","0",16,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6,1,3,3,3,3,2,3,2,2,3,3,1,98,2,5,5,8,5,2,2,8,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",98,4,1,1,1,1,5,1,5,4,3,5,1,"0","0","4","","","","",0,0,"0","0","0","0","0","","","","","0","0","","","","","",5,"0","0","0",4,"3",1,1,5,"8","16",1,1,1,"2","2",31,8,"3","32",23,"2",2,"51","7",98,1,2,"2.16424388643183",0
"2",10001,"20250209.73661.243",1939,"","","",2,2,1,"","","","","","","","","","","",16,"8","","","","98","","","","","","","","","","","","","","","","","","","","","","","","","",3,3,2,2,0,3,2,4,1,4,5,4,4,98,6,3,5,4,2,5,1,5,"2","8","8","1","1","4","2","3","2","2","0","5","1","1","7","0","0","0","0","0","0","0","0","0","0","0","3","0","2","0","0","1","3","1",10,1,1,1,1,1,1,1,1,4,4,1,1,"0","0","0","","","","",2,98,"0","0","0","0","0","","","","","0","0","","","","","",0,"0","0","0",4,"4",4,0,0,"10","16",1,1,1,"1","1",32,7,"7","",10,"",4,"52","7",5,2,1,"0.757477260090412",0
"3",10003,"20250209.80041.243",1994,"","","",2,3,8,"","","","","","","","","","","",17,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5,5,3,3,2,0,3,2,3,2,5,5,0,5,6,9,8,1,6,6,9,6,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5,1,1,1,1,1,1,1,1,2,2,3,1,"0","0","0","","","","",0,0,"0","0","0","0","0","","","","","0","0","","","","","",0,"0","0","0",0,"0",0,0,0,"11","18",2,2,2,"","",21,3,"","33",21,"8",2,"98","3",7,2,1,"1.45683710792794",0
"4",10005,"20250209.87838.243",1939,"","","",1,3,1,"","","","","","","","","","","",1,"2","","8","","5","","","","","","","","","","","","","","","","999","","","","","999","","","","",8,8,10,3,9,7,4,8,5,2,9,3,1,8,5,5,5,6,5,3,1,4,"2","1","4","3","4","1","1","1","2","8","2","7","10","7","5","5","0","4","0","0","0","0","0","0","0","0","5","0","0","0","4","8","4","2",10,5,1,1,1,1,1,1,3,5,3,1,1,"5","0","0","","","","",0,0,"0","0","0","0","0","","","","","0","0","","","","","",0,"0","0","0",3,"3",0,0,0,"98","1",1,1,1,"2","6",32,7,"3","33",10,"1",1,"","",3,2,2,"0.988648941970038",0
"5",10008,"20250209.76622.243",1961,"","","",2,1,1,"","","","","","","","","","","",3,"2","","4","","3","","","","","","","","","","","","","","","war zu radikal","401","","","","Wirtschaft, Preisentwicklung allgemein","300","301","","","",8,8,5,5,5,8,8,5,5,5,5,5,3,6,2,4,6,1,6,2,3,3,"1","1","2","3","2","1","2","1","2","10","5","8","10","3","5","5","5","0","5","5","5","1","5","2","4","3","4","4","2","7","3","10","3","1",10,5,3,3,2,2,3,2,5,5,2,4,3,"0","0","0","","","","",5,1,"0","0","0","0","0","","","","","0","0","","","","","",1,"0","0","0",5,"5",2,5,5,"98","3",1,1,1,"1","2",32,2,"","",22,"",2,"51","1",6,2,2,"0.511053219826459",0
"6",10009,"20250209.73263.243",2002,"","","",1,2,1,"","","","","","","","","","","",4,"2","","4","","5","","","","","","","","","","","","","","","","999","","","","","999","","","","",8,8,6,7,8,9,8,8,8,3,10,6,2,6,2,4,4,4,3,1,3,5,"1","1","3","3","2","2","2","2","1","0","0","0","3","0","0","0","0","0","0","0","0","10","0","0","4","1","2","3","0","5","2","10","5","1",8,1,1,1,1,1,1,1,4,2,1,5,1,"0","0","0","","","","",0,0,"0","0","0","0","0","","","","","0","0","","","","","",0,"0","0","0",3,"2",1,4,4,"8","4",1,1,1,"2","4",32,4,"","",10,"",4,"98","98",98,2,8,"1.02284339441127",0
"7",10011,"20250209.89365.243",1981,"","","",1,1,1,"","","","","","","","","","","",4,"2","","4","","5","","","","","","","","","","","","","","","Zu radikal !!! Die Schweiz  macht schon sehr viel.  Es wird  Zeit  das andere Länder  auch zu Verantwortung  gezogenen werden. Auch schwellen und Entwicklungs Länder !  Beispielsweise Abfallentsorgung und oder Abwasserreimigung!","200","401","202","","Wider einmal mehr eine Wohlstans Abstimmung.  Der Schweiz geht es zu gut, dass wir  über so was abstimmen dürfen. Hätte die Schweiz zu wenig zu essen während es den Jungen Grünen nie in den Sinn gekommen  so eine Abstimmung zu machen.","100","","","","",8,7,7,7,2,3,8,7,10,0,10,0,0,2,4,4,4,6,4,1,1,6,"1","1","8","8","4","1","1","1","3","5","10","5","10","0","0","3","5","0","0","98","0","5","0","0","0","5","0","0","3","5","0","9","3","2",10,4,2,2,4,4,3,3,5,5,4,3,1,"0","3","2","","","","",5,0,"0","0","3","4","0","","","","","5","5","","","","","",1,"1","1","0",5,"5",4,5,5,"98","5",1,1,1,"2","6",51,1,"","12",10,"1",8,"","",98,3,1,"0.501602747738173",0
"8",10012,"20250209.70717.243",1981,"","","",1,3,1,"","","","","","","","","","","",1,"2","","4","","5","","","","","","","","","","","","","","","","999","","","","","999","","","","",5,5,5,5,6,5,6,5,8,5,8,8,3,7,5,4,3,5,4,3,3,4,"1","1","8","8","8","4","8","8","2","5","5","5","4","4","4","3","5","7","3","7","1","6","3","4","5","5","5","5","5","5","5","5","3","2",7,98,98,5,5,98,98,98,98,98,98,98,98,"4","3","3","","","","",3,4,"3","3","4","4","3","","","","","4","3","","","","","",3,"4","4","3",3,"4",5,5,3,"98","1",1,1,1,"2","4",33,1,"","12",10,"1",1,"","",8,1,2,"0.58831006662154",0
"9",10014,"20250209.84864.243",1953,"","","",2,3,2,"0","1","0","0","0","0","1","0","0","0","0",99,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10,5,0,5,5,5,7,7,5,5,8,8,0,5,9,3,3,6,3,3,1,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,4,2,1,1,1,5,2,5,3,1,5,1,"0","0","0","","","","",2,1,"0","0","0","0","0","","","","","0","0","","","","","",5,"0","1","0",2,"3",0,5,2,"9","18",1,1,1,"2","2",21,7,"2","",10,"",1,"","",1,2,1,"2.49625123157601",0
"10",10017,"20250209.85568.243",1985,"","","",2,2,1,"","","","","","","","","","","",4,"2","","8","","5","","","","","","","","","","","","","","","Zu extrem, zu hohe Kosten, steigende Lebenskosten, sehr einschränkende Gesetze für Nahrungsmittel hersteller, förderung der ausländischen Lebensmittel","401","301","405","","","999","","","","",5,4,3,5,1,7,5,5,3,5,5,5,1,5,5,2,4,6,5,4,3,5,"2","3","2","1","2","1","1","1","3","5","2","5","5","5","0","2","0","5","0","0","5","0","0","0","5","5","3","5","5","8","2","5","3","2",6,3,3,1,3,1,4,1,5,4,3,4,1,"2","0","0","","","","",0,2,"0","0","0","0","2","","","","","0","0","","","","","",2,"0","0","0",2,"2",0,2,2,"8","4",1,1,1,"2","4",40,3,"","33",23,"3",2,"32","3",6,1,2,"0.654438132888059",0
