;coderesp;securityid;birthyearr;control1;control3;control3_txt;s11;polint;part;nonvote_01;nonvote_02;nonvote_03;nonvote_04;nonvote_05;nonvote_06;nonvote_07;nonvote_08;nonvote_09;nonvote_10;nonvote_98;party15;vote1;vote1a;vote1b;vote1c;importance1;reason1acc1;reason1acc1_01;reason1acc1_02;reason1acc1_03;reason2acc1;reason2acc1_01;reason2acc1_02;reason2acc1_03;reason2acc1_04;reason1den1;reason1den1_01;reason1den1_02;reason1den1_03;reason1den1_04;reason2den1;reason2den1_01;reason2den1_02;reason2den1_03;reason2den1_04;vote2;vote2a;vote2b;vote2c;importance2;reason1acc2;reason1acc2_01;reason1acc2_02;reason1acc2_03;reason2acc2;reason2acc2_01;reason2acc2_02;reason2acc2_03;reason1den2;reason1den2_01;reason1den2_02;reason1den2_03;reason1den2_04;reason2den2;reason2den2_01;reason2den2_02;reason2den2_03;reason2den2_04;trust_1;trust_2;trust_3;trust_4;trust_5;trust_7;trust_8;trust_9;trust_10;trust_21;trust_22;trust_25;trust_29;trust_31;trust_55;trust_63;lrsp;value2;value3;value6;value9;value12;value15;difficul1;dectime1;argu1_1;argu1_2;argu1_3;argu1_4;argu1_5;argu1_6;difficul2;dectime2;argu2_1;argu2_2;argu2_3;argu2_4;argu2_5;argu2_6;zusatz1a301125_1;zusatz1a301125_2;zusatz1a301125_3;zusatz1a301125_4;zusatz1a301125_5;zusatz2a301125_1;zusatz2a301125_2;zusatz2a301125_3;zusatz2a301125_4;zusatz2a301125_5;zusatz2a301125_6;zusatz2a301125_7;zusatz2a301125_8;zusatz2a301125_9;zusatz2a301125_10;zusatz2a301125_11;zusatz2a301125_12;zusatz2a301125_13;zusatz2a301125_14;zusatz3a301125_1;zusatz3a301125_2;zusatz3a301125_3;zusatz3a301125_4;online;mediause_1;mediause_3;mediause_4;mediause_5;mediause_6;mediause_7;mediause_8;mediause_9;mediause_10;mediause_11;mediause_13;mediause_14;mediause_15;mediause2_1;mediause2_2;mediause2_3;mediause2_4;mediause2_5;mediause2_6;mediause2_7;mediause2_8;mediause_12;mediause_2;discus;votewie;part2;partya;citizenrepa;originparents;confessd;confessr;cult;educ;acti;actiprev;s17jobposition;workload;s17sector;mainearner;educmain;actimain;income;incomeprecariat;habitat;gewvorl1;gewvorl2;unused;sprachreg3;agglo2020;grossreg;;;;;;
1;17645;2.02511E+15;1955;;;;2;2;1;;;;;;;;;;;;17;2;99999998;4;99999998;10;;;;;;;;;;Frauen machen schon immer sehr viel freiwillige Arbeit!;503;;;;Wenn die Care Arbeit auch für Männer spannender wäre, hätten wir bessere Verteilung.;503;;;;1;4;99999998;99999998;10;sehr reiche Leute müssen mehr zum Gemeinwohl beitragen, sowieso wenn es um erbschaft geht.;301;;;Es kann nicht sein, dass junge Familien nicht mehr wissen, wie sie finanziel zurechtkommen;301;;;;;;;;;;;;;5;5;3;5;3;5;7;3;7;0;7;0;5;7;0;3;5;6;3;5;1;1;1;1;1;2;4;4;1;4;2;1;1;1;1;1;4;4;4;4;1;98;4;2;0;0;0;1;1;1;1;1;0;1;1;0;0;0;1;98;3;1;2;10;5;0;10;0;0;0;10;5;0;0;0;0;0;0;10;0;0;10;0;0;0;5;3;1;10;18;1;1;2;;99999998;52;7;3;32;10;1;1;99999998;99999998;98;1;2;0.774190655;0.642957157;0;1;2;4;;;;;;
2;10224;2.02511E+15;1970;;;;1;2;1;;;;;;;;;;;;16;2;99999998;4;99999998;0;;;;;;;;;;Unnötig, zu teuer, zu grosser admin, Aufwand;301;306;;;unnötig, teuet,, grosser admin Aufwand;301;306;;;2;99999998;4;99999998;0;;;;;;;;;Eine weitere unnötige Volksinnitiative;103;;;;;999;;;;7;98;3;1;6;8;3;4;2;8;0;1;3;2;0;5;6;5;4;2;1;2;2;1;1;2;2;3;1;2;2;1;1;2;3;3;1;1;2;3;3;2;2;4;1;1;1;0;0;0;0;1;0;0;1;1;0;0;1;2;2;1;2;9;0;9;1;1;1;1;5;5;0;0;0;3;5;0;0;0;0;8;0;10;0;0;3;1;8;1;1;1;1;1;4;60;1;99999998;11;10;1;1;99999998;99999998;15;1;2;0.757799142;0.759044988;0;1;2;6;;;;;;
3;17328;2.02511E+15;1946;;;;1;2;1;;;;;;;;;;;;3;2;99999998;4;99999998;8;;;;;;;;;;Nicht organisiert und finanzierbar;306;301;;;;999;;;;2;99999998;4;99999998;9;;;;;;;;;;999;;;;;999;;;;8;6;6;8;6;6;5;6;5;8;0;6;6;8;0;6;7;5;5;1;2;2;3;1;1;2;2;3;1;3;3;1;1;3;4;4;1;2;1;3;4;1;1;4;1;1;1;0;0;0;0;0;1;1;1;0;0;0;1;1;2;1;3;8;8;5;0;5;0;5;8;0;0;0;5;0;0;0;0;0;0;8;5;8;0;98;1;1;10;3;1;1;1;1;2;32;3;99999998;32;10;1;3;99999998;99999998;10;1;2;1.092545308;1.026831722;0;1;2;2;;;;;;
4;16128;2.02511E+15;1961;;;;1;2;1;;;;;;;;;;;;4;2;99999998;4;99999998;4;;;;;;;;;;;999;;;;;999;;;;8;99999998;99999998;99999998;98;;;;;;;;;;;;;;;;;;;9;98;5;4;98;8;9;9;3;8;0;6;8;2;2;5;98;6;9;1;4;1;1;1;1;8;8;8;8;8;8;1;1;1;1;1;3;8;8;98;98;98;98;98;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;98;0;10;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;0;98;0;98;98;8;1;10;4;1;1;1;1;9;97;3;99999998;98;22;2;1;99999998;99999998;98;1;1;0.047418316;0.045346032;0;1;1;1;;;;;;
5;13423;2.02511E+15;1984;;;;2;3;2;1;0;0;0;0;0;1;0;0;0;0;16;99999998;99999998;99999998;99999998;99999998;;;;;;;;;;;;;;;;;;;;99999998;99999998;99999998;99999998;99999998;;;;;;;;;;;;;;;;;;;98;98;98;5;5;98;98;5;5;5;98;98;6;5;98;5;98;8;9;9;9;9;2;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;4;3;3;2;98;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;2;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;5;18;9;2;2;;99999998;32;8;98;99999998;98;99999998;2;98;98;98;2;8;1.649358547;1.648216873;0;1;1;3;;;;;;
6;11432;2.02511E+15;1961;;;;1;1;1;;;;;;;;;;;;1;2;99999998;8;99999998;4;;;;;;;;;;Umweltschutz als Option;399;;;;;999;;;;2;99999998;4;99999998;10;;;;;;;;;Schadet der Schweiz finanziell;200;;;;Reputation Land, als isicherer Hafen;201;;;;6;4;4;5;5;5;0;8;0;9;0;7;0;0;0;8;8;6;6;1;6;5;4;1;1;1;1;1;2;4;4;1;1;4;4;4;1;1;1;1;1;1;1;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;1;2;10;0;8;0;5;0;0;0;8;0;0;0;0;0;0;0;0;0;6;0;9;0;0;4;1;10;1;1;1;2;;99999998;52;7;3;32;10;2;3;99999998;99999998;7;1;2;0.665603876;0.67519094;0;1;1;2;;;;;;
7;10243;2.02511E+15;1976;;;;1;3;2;0;0;0;1;0;0;0;0;0;0;0;1;99999998;99999998;99999998;99999998;99999998;;;;;;;;;;;;;;;;;;;;99999998;99999998;99999998;99999998;99999998;;;;;;;;;;;;;;;;;;;5;5;3;2;98;8;5;5;8;8;5;98;5;8;7;9;5;9;9;9;9;9;9;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;4;98;98;98;3;1;1;0;1;1;0;0;1;0;0;1;0;0;0;2;4;4;98;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;2;1;1;1;1;2;2;98;3;99999998;33;10;8;1;99999998;99999998;98;2;1;0.935555696;0.935731446;0;1;2;6;;;;;;
8;13581;2.02511E+15;1951;;;;1;2;1;;;;;;;;;;;;1;2;99999998;4;99999998;5;;;;;;;;;;Gleichstellung, Kosten, Ausführung des sonst schon aufgezählten ??;503;301;;;;999;;;;2;99999998;4;99999998;5;;;;;;;;;Auftritt der Jugend? Arrogant / Vertreiben der Reichen und Innovationen;201;103;;;;999;;;;4;2;2;0;4;3;1;4;3;6;0;6;5;5;0;3;6;6;4;1;2;5;5;1;1;4;4;3;4;4;3;1;1;3;2;4;1;1;1;3;2;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;1;2;6;5;6;0;2;4;3;5;7;3;0;0;0;4;1;0;0;0;0;0;5;0;5;4;1;10;1;1;1;2;;99999998;51;7;1;11;10;3;1;99999998;99999998;9;2;2;1.016665129;1.049171164;0;1;1;3;;;;;;
9;15647;2.02511E+15;2007;;;;2;8;2;0;0;1;0;0;0;0;0;0;0;0;99;99999998;99999998;99999998;99999998;99999998;;;;;;;;;;;;;;;;;;;;99999998;99999998;99999998;99999998;99999998;;;;;;;;;;;;;;;;;;;7;5;7;5;5;7;5;5;5;10;5;5;9;7;4;7;98;3;1;1;1;1;4;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;3;98;3;2;4;1;1;1;1;1;1;1;1;1;1;1;1;0;0;2;2;2;2;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;98;18;1;1;1;1;6;21;4;99999998;99999998;98;99999998;4;32;2;98;3;8;1.910141173;1.910138503;0;1;2;2;;;;;;
10;11572;2.02511E+15;1990;;;;1;3;1;;;;;;;;;;;;1;2;99999998;4;99999998;10;;;;;;;;;;;999;;;;;999;;;;3;99999998;99999998;1;5;;;;;;;;;;;;;;;;;;;5;5;3;0;2;4;1;3;0;1;1;1;1;1;0;5;6;3;5;3;5;3;3;1;2;2;3;3;3;2;2;2;3;2;1;2;2;2;1;2;2;2;2;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;4;2;3;5;3;3;3;1;0;0;4;0;0;0;0;0;0;0;0;1;2;5;0;4;5;1;9;1;1;1;2;;99999998;51;3;99999998;98;10;1;3;99999998;99999998;7;1;1;0.080496616;0.07914718;0;1;2;2;;;;;;
